"Profil","Secteur","Date_Week1","Capacite"
"AUTRES","Centre Var","01",106.0875
"AUTRES","Var Littoral","02",143.3475
"AUTRES","Var Littoral","04",128.685
"STATION","Centre Var","07",176.583333
"AUTRES","Centre Var","08",87.1125
"AUTRES","Centre Var","09",78.4875
"AUTRES","Var Littoral","10",132.135
"AUTRES","Centre Var","13",76.7625
"RESEAU","Var Littoral","14",96.193461
"RESEAU","Centre Var","17",73.90173
"AUTRES","Var Littoral","22",132.135
"STATION","Var Littoral","23",372.916667
"STATION","Centre Var","31",172.403799
"AUTRES","Centre Var","38",102.6375
"STATION","Var Littoral","38",324.583333
"AUTRES","Centre Var","40",106.0875
"RESEAU","Var Littoral","46",106.453461
"RESEAU","Var Littoral","50",137.083461
"AUTRES","Var Littoral","50",139.8975
"RESEAU","Var Littoral","52",110.093461
"RESEAU","Var Littoral","11",152.325961
"STATION","Centre Var","13",190.966667
"AUTRES","Centre Var","15",79.35
"AUTRES","Var Littoral","18",113.16
"STATION","Var Littoral","19",335.85
"RESEAU","Centre Var","24",162.210192
"RESEAU","Var Littoral","24",172.975672
"RESEAU","Var Littoral","26",141.913461
"STATION","Var Littoral","31",378.166667
"RESEAU","Var Littoral","37",269.81904
"RESEAU","Centre Var","42",71.12173
"RESEAU","Var Littoral","45",122.683461
"AUTRES","Var Littoral","46",146.7975
"AUTRES","Centre Var","48",109.5375
"RESEAU","Var Littoral","48",119.303461
"RESEAU","Var Littoral","02",106.033461
"AUTRES","Centre Var","06",100.9125
"AUTRES","Var Littoral","11",137.31
"RESEAU","Centre Var","13",75.04173
"STATION","Centre Var","19",161.541667
"RESEAU","Var Littoral","19",284.144461
"STATION","Centre Var","27",188.949388
"AUTRES","Var Littoral","37",141.6225
"STATION","Centre Var","38",157.569853
"AUTRES","Var Littoral","41",145.4175
"AUTRES","Centre Var","42",107.8125
"AUTRES","Var Littoral","42",141.6225
"AUTRES","Centre Var","45",97.4625
"STATION","Var Littoral","46",319.166667
"AUTRES","Var Littoral","49",134.7225
"STATION","Centre Var","01",188.666667
"STATION","Centre Var","02",168.583333
"AUTRES","Var Littoral","08",127.8225
"AUTRES","Var Littoral","15",128.685
"STATION","Var Littoral","18",313.333333
"RESEAU","Centre Var","20",67.25173
"AUTRES","Centre Var","21",82.9725
"STATION","Var Littoral","32",368
"RESEAU","Var Littoral","32",108.473461
"AUTRES","Centre Var","36",68.1375
"AUTRES","Centre Var","37",96.6
"AUTRES","Var Littoral","43",125.235
"STATION","Centre Var","49",181.916667
"RESEAU","Var Littoral","51",132.073461
"AUTRES","Centre Var","52",60.375
"STATION","Var Littoral","01",277.832721
"AUTRES","Centre Var","05",106.0875
"AUTRES","Centre Var","07",78.4875
"RESEAU","Centre Var","12",77.10173
"STATION","Centre Var","16",163.75
"STATION","Var Littoral","28",319.583333
"STATION","Centre Var","37",170.333333
"STATION","Centre Var","39",182.295956
"AUTRES","Var Littoral","40",138.5175
"STATION","Centre Var","47",171.166667
"RESEAU","Var Littoral","49",127.223461
"STATION","Var Littoral","51",291.463848
"AUTRES","Var Littoral","07",121.785
"STATION","Var Littoral","08",300.25
"STATION","Centre Var","09",190.5
"STATION","Centre Var","10",174.5
"RESEAU","Var Littoral","10",149.425961
"AUTRES","Centre Var","12",85.0425
"RESEAU","Centre Var","18",64.59173
"STATION","Centre Var","22",174.452206
"RESEAU","Var Littoral","22",276.224461
"RESEAU","Var Littoral","23",272.664461
"STATION","Centre Var","24",179.337745
"STATION","Var Littoral","29",358.75
"RESEAU","Centre Var","41",89.36173
"RESEAU","Var Littoral","44",133.453461
"AUTRES","Var Littoral","45",126.96
"RESEAU","Centre Var","03",109.85173
"AUTRES","Centre Var","11",100.9125
"STATION","Centre Var","15",188.083333
"STATION","Centre Var","17",181.958333
"AUTRES","Centre Var","18",85.905
"AUTRES","Centre Var","19",85.905
"RESEAU","Var Littoral","20",291.504461
"STATION","Centre Var","26",175.189951
"STATION","Var Littoral","26",402.05
"AUTRES","Centre Var","31",77.625
"STATION","Centre Var","33",174.166667
"RESEAU","Centre Var","36",74.11173
"STATION","Var Littoral","40",325.5
"RESEAU","Var Littoral","42",266.51904
"AUTRES","Centre Var","49",104.3625
"RESEAU","Var Littoral","05",126.763461
"AUTRES","Centre Var","10",99.1875
"STATION","Var Littoral","13",389.795956
"STATION","Var Littoral","17",348.783333
"STATION","Centre Var","18",179.5
"RESEAU","Centre Var","19",71.17173
"RESEAU","Var Littoral","38",263.95904
"STATION","Var Littoral","49",325.678309
"STATION","Var Littoral","50",332.571079
"AUTRES","Var Littoral","52",87.63
"STATION","Centre Var","14",180.65
"RESEAU","Var Littoral","17",265.084461
"AUTRES","Centre Var","22",84.525
"AUTRES","Var Littoral","23",112.2975
"STATION","Var Littoral","24",334.5
"AUTRES","Centre Var","29",80.2125
"RESEAU","Var Littoral","33",118.003461
"RESEAU","Centre Var","37",73.92173
"RESEAU","Centre Var","39",74.34173
"AUTRES","Centre Var","44",67.4475
"STATION","Var Littoral","44",305.666667
"RESEAU","Centre Var","45",128.979335
"RESEAU","Centre Var","47",254.083408
"AUTRES","Centre Var","47",109.1925
"AUTRES","Centre Var","02",106.0875
"AUTRES","Centre Var","04",106.95
"AUTRES","Var Littoral","16",97.635
"RESEAU","Centre Var","43",103.407835
"RESEAU","Centre Var","48",267.804658
"STATION","Var Littoral","02",298.666667
"STATION","Var Littoral","14",331.5
"STATION","Centre Var","21",200.476103
"RESEAU","Var Littoral","25",114.813461
"AUTRES","Centre Var","28",66.585
"AUTRES","Var Littoral","30",134.205
"RESEAU","Centre Var","32",88.40173
"RESEAU","Var Littoral","47",123.513461
"STATION","Centre Var","48",177.25
"AUTRES","Var Littoral","48",132.9975
"STATION","Centre Var","50",197.016667
"RESEAU","Centre Var","52",122.486151
"RESEAU","Centre Var","01",93.48173
"AUTRES","Centre Var","20",109.5375
"AUTRES","Var Littoral","24",139.38
"AUTRES","Centre Var","26",107.8125
"AUTRES","Centre Var","27",107.8125
"RESEAU","Centre Var","28",120.700192
"RESEAU","Var Littoral","35",271.74904
"STATION","Var Littoral","36",339.7
"STATION","Var Littoral","37",381.75
"RESEAU","Var Littoral","04",109.353461
"STATION","Var Littoral","06",316.5
"RESEAU","Centre Var","08",90.87173
"STATION","Var Littoral","09",306.508211
"RESEAU","Var Littoral","21",287.404461
"AUTRES","Centre Var","25",106.0875
"RESEAU","Centre Var","30",77.82173
"RESEAU","Var Littoral","31",116.523461
"STATION","Centre Var","42",156.1
"AUTRES","Centre Var","51",52.2675
"STATION","Var Littoral","52",349.623285
"STATION","Var Littoral","04",319.761029
"STATION","Var Littoral","10",314.867647
"STATION","Var Littoral","12",338.569853
"AUTRES","Var Littoral","14",127.305
"AUTRES","Var Littoral","21",122.6475
"RESEAU","Centre Var","27",157.520192
"RESEAU","Var Littoral","34",103.413461
"AUTRES","Var Littoral","34",130.41
"STATION","Var Littoral","35",339.683333
"RESEAU","Var Littoral","36",276.59904
"RESEAU","Var Littoral","41",279.05904
"AUTRES","Var Littoral","47",150.2475
"RESEAU","Centre Var","50",182.004151
