"Secteur","Date_Week1","CAPACIT.Capacite_Station","Capacite_Reseau"
"Centre Var","07",176.58,76.8
"Var Littoral","23",372.92,272.66
"Centre Var","31",172.4,89.17
"Var Littoral","38",324.58,263.96
"Centre Var","13",190.97,75.04
"Var Littoral","19",335.85,284.14
"Var Littoral","31",378.17,116.52
"Centre Var","19",161.54,71.17
"Centre Var","27",188.95,157.52
"Centre Var","38",157.57,77.28
"Var Littoral","46",319.17,106.45
"Centre Var","01",188.67,93.48
"Centre Var","02",168.58,91.85
"Var Littoral","18",313.33,303.93
"Var Littoral","32",368,108.47
"Centre Var","49",181.92,231.74
"Var Littoral","01",277.83,125.26
"Centre Var","16",163.75,72.37
"Var Littoral","28",319.58,149.73
"Centre Var","37",170.33,73.92
"Centre Var","39",182.3,74.34
"Centre Var","47",171.17,254.08
"Var Littoral","51",291.46,132.07
"Var Littoral","08",300.25,128.94
"Centre Var","09",190.5,83.03
"Centre Var","10",174.5,78.12
"Centre Var","22",174.45,138.23
"Centre Var","24",179.34,162.21
"Var Littoral","29",358.75,115.5
"Centre Var","15",188.08,77.53
"Centre Var","17",181.96,73.9
"Centre Var","26",175.19,145.68
"Var Littoral","26",402.05,141.91
"Centre Var","33",174.17,79.81
"Var Littoral","40",325.5,267.88
"Var Littoral","13",389.8,111.07
"Var Littoral","17",348.78,265.08
"Centre Var","18",179.5,64.59
"Var Littoral","49",325.68,127.22
"Var Littoral","50",332.57,137.08
"Centre Var","14",180.65,86.26
"Var Littoral","24",334.5,172.98
"Var Littoral","44",305.67,133.45
"Var Littoral","02",298.67,106.03
"Var Littoral","14",331.5,96.19
"Centre Var","21",200.48,75.57
"Centre Var","48",177.25,267.8
"Centre Var","50",197.02,182
"Var Littoral","36",339.7,276.6
"Var Littoral","37",381.75,269.82
"Var Littoral","06",316.5,142.01
"Var Littoral","09",306.51,137.49
"Centre Var","42",156.1,71.12
"Var Littoral","52",349.62,110.09
"Var Littoral","04",319.76,109.35
"Var Littoral","10",314.87,149.43
"Var Littoral","12",338.57,120.62
"Var Littoral","35",339.68,271.75
"Var Littoral","03",301.06,129.55
"Centre Var","12",162.75,77.1
"Centre Var","30",205.84,77.82
"Var Littoral","34",334.33,103.41
"Centre Var","46",150,200.96
"Centre Var","03",182.17,109.85
"Var Littoral","21",396.3,287.4
"Var Littoral","27",359.23,140.32
"Var Littoral","41",339,279.06
"Var Littoral","47",324.48,123.51
"Centre Var","25",175.3,149.35
"Centre Var","41",171.67,89.36
"Centre Var","04",191.08,83.67
"Var Littoral","05",302.67,126.76
"Centre Var","06",180.75,85.82
"Centre Var","08",199.25,90.87
"Var Littoral","16",324.75,264.94
"Var Littoral","20",291.5,291.5
"Centre Var","32",175.75,88.4
"Centre Var","36",174.12,74.11
"Var Littoral","39",336.17,255.84
"Var Littoral","11",328,152.33
"Centre Var","40",175.13,69.89
"Centre Var","51",162.17,147.63
"Centre Var","52",167.88,122.49
"Centre Var","05",227.42,77.58
"Var Littoral","07",282.42,126.89
"Var Littoral","15",365.83,112.72
"Centre Var","23",178.14,214.07
"Centre Var","28",178,120.7
"Var Littoral","30",393.25,117.29
"Centre Var","35",178.14,73.78
"Centre Var","20",194,67.25
"Var Littoral","22",348.25,276.22
"Centre Var","29",192.99,87.82
"Centre Var","34",181.08,75.98
"Centre Var","44",159,98.58
"Centre Var","45",154.08,128.98
"Var Littoral","45",281.04,122.68
"Centre Var","11",175.48,81.66
"Var Littoral","25",346.15,114.81
"Var Littoral","33",345.25,118
"Var Littoral","48",327.12,119.3
"Var Littoral","42",301.33,266.52
"Centre Var","43",203.33,103.41
"Var Littoral","43",330.13,280.75
