"Ann_e","Profil","Secteur","P_riode","Date","Capacite","Capacite_ETP"
"2020","STATION","Centre Var","2020-01","03/01/2020",135,3.6
"2020","RESEAU","Centre Var","2020-01","03/01/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-01","03/01/2020",243.75,6.5
"2020","STATION","Var Littoral","2020-01","03/01/2020",180,4.8
"2020","RESEAU","Var Littoral","2020-01","03/01/2020",225.75,6.02
"2020","POLYVALENT","Var Littoral","2020-01","03/01/2020",135,3.6
"2020","STATION","Centre Var","2020-01","10/01/2020",150,4
"2020","RESEAU","Centre Var","2020-01","10/01/2020",67.5,1.8
"2020","POLYVALENT","Centre Var","2020-01","10/01/2020",243.75,6.5
"2020","STATION","Var Littoral","2020-01","10/01/2020",187.5,5
"2020","RESEAU","Var Littoral","2020-01","10/01/2020",285.75,7.62
"2020","POLYVALENT","Var Littoral","2020-01","10/01/2020",150,4
"2020","STATION","Centre Var","2020-01","17/01/2020",150,4
"2020","RESEAU","Centre Var","2020-01","17/01/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-01","17/01/2020",243.75,6.5
"2020","STATION","Var Littoral","2020-01","17/01/2020",217.5,5.8
"2020","RESEAU","Var Littoral","2020-01","17/01/2020",297,7.92
"2020","POLYVALENT","Var Littoral","2020-01","17/01/2020",142.5,3.8
"2020","STATION","Centre Var","2020-01","24/01/2020",150,4
"2020","RESEAU","Centre Var","2020-01","24/01/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-01","24/01/2020",232.5,6.2
"2020","STATION","Var Littoral","2020-01","24/01/2020",187.5,5
"2020","RESEAU","Var Littoral","2020-01","24/01/2020",274.5,7.32
"2020","POLYVALENT","Var Littoral","2020-01","24/01/2020",97.5,2.6
"2020","STATION","Centre Var","2020-01","31/01/2020",142.5,3.8
"2020","RESEAU","Centre Var","2020-01","31/01/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-01","31/01/2020",236.25,6.3
"2020","STATION","Var Littoral","2020-01","31/01/2020",172.5,4.6
"2020","RESEAU","Var Littoral","2020-01","31/01/2020",274.5,7.32
"2020","POLYVALENT","Var Littoral","2020-01","31/01/2020",112.5,3
"2020","STATION","Centre Var","2020-02","07/02/2020",127.5,3.4
"2020","RESEAU","Centre Var","2020-02","07/02/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-02","07/02/2020",228.75,6.1
"2020","STATION","Var Littoral","2020-02","07/02/2020",191.25,5.1
"2020","RESEAU","Var Littoral","2020-02","07/02/2020",255.75,6.82
"2020","POLYVALENT","Var Littoral","2020-02","07/02/2020",150,4
"2020","STATION","Centre Var","2020-02","14/02/2020",112.5,3
"2020","RESEAU","Centre Var","2020-02","14/02/2020",45,1.2
"2020","POLYVALENT","Centre Var","2020-02","14/02/2020",183.75,4.9
"2020","STATION","Var Littoral","2020-02","14/02/2020",202.5,5.4
"2020","RESEAU","Var Littoral","2020-02","14/02/2020",252,6.72
"2020","POLYVALENT","Var Littoral","2020-02","14/02/2020",75,2
"2020","STATION","Centre Var","2020-02","21/02/2020",150,4
"2020","RESEAU","Centre Var","2020-02","21/02/2020",45,1.2
"2020","POLYVALENT","Centre Var","2020-02","21/02/2020",183.75,4.9
"2020","STATION","Var Littoral","2020-02","21/02/2020",142.5,3.8
"2020","RESEAU","Var Littoral","2020-02","21/02/2020",244.5,6.52
"2020","POLYVALENT","Var Littoral","2020-02","21/02/2020",168.75,4.5
"2020","STATION","Centre Var","2020-02","28/02/2020",112.5,3
"2020","RESEAU","Centre Var","2020-02","28/02/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-02","28/02/2020",146.25,3.9
"2020","STATION","Var Littoral","2020-02","28/02/2020",210,5.6
"2020","RESEAU","Var Littoral","2020-02","28/02/2020",186,4.96
"2020","POLYVALENT","Var Littoral","2020-02","28/02/2020",150,4
"2020","STATION","Centre Var","2020-03","06/03/2020",150,4
"2020","RESEAU","Centre Var","2020-03","06/03/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-03","06/03/2020",198.75,5.3
"2020","STATION","Var Littoral","2020-03","06/03/2020",180,4.8
"2020","RESEAU","Var Littoral","2020-03","06/03/2020",244.5,6.52
"2020","POLYVALENT","Var Littoral","2020-03","06/03/2020",150,4
"2020","STATION","Centre Var","2020-03","13/03/2020",112.5,3
"2020","RESEAU","Centre Var","2020-03","13/03/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-03","13/03/2020",243.75,6.5
"2020","STATION","Var Littoral","2020-03","13/03/2020",198.75,5.3
"2020","RESEAU","Var Littoral","2020-03","13/03/2020",210.75,5.62
"2020","POLYVALENT","Var Littoral","2020-03","13/03/2020",187.5,5
"2020","STATION","Centre Var","2020-03","20/03/2020",67.5,1.8
"2020","RESEAU","Centre Var","2020-03","20/03/2020",73.5,1.96
"2020","POLYVALENT","Centre Var","2020-03","20/03/2020",228.75,6.1
"2020","STATION","Var Littoral","2020-03","20/03/2020",168.75,4.5
"2020","RESEAU","Var Littoral","2020-03","20/03/2020",248.25,6.62
"2020","POLYVALENT","Var Littoral","2020-03","20/03/2020",112.5,3
"2020","STATION","Centre Var","2020-03","27/03/2020",75,2
"2020","RESEAU","Centre Var","2020-03","27/03/2020",67.5,1.8
"2020","POLYVALENT","Centre Var","2020-03","27/03/2020",191.25,5.1
"2020","STATION","Var Littoral","2020-03","27/03/2020",195,5.2
"2020","RESEAU","Var Littoral","2020-03","27/03/2020",214.5,5.72
