"Profil","Secteur","Key_Secteur_Week","Date_Week1","Capacite_Reseau"
"RESEAU","Var Littoral","Var Littoral-14","14",96.19
"RESEAU","Centre Var","Centre Var-17","17",73.9
"RESEAU","Var Littoral","Var Littoral-46","46",106.45
"RESEAU","Var Littoral","Var Littoral-50","50",137.08
"RESEAU","Var Littoral","Var Littoral-52","52",110.09
"RESEAU","Var Littoral","Var Littoral-11","11",152.33
"RESEAU","Centre Var","Centre Var-24","24",162.21
"RESEAU","Var Littoral","Var Littoral-24","24",172.98
"RESEAU","Var Littoral","Var Littoral-26","26",141.91
"RESEAU","Var Littoral","Var Littoral-37","37",269.82
"RESEAU","Centre Var","Centre Var-42","42",71.12
"RESEAU","Var Littoral","Var Littoral-45","45",122.68
"RESEAU","Var Littoral","Var Littoral-48","48",119.3
"RESEAU","Var Littoral","Var Littoral-02","02",106.03
"RESEAU","Centre Var","Centre Var-13","13",75.04
"RESEAU","Var Littoral","Var Littoral-19","19",284.14
"RESEAU","Centre Var","Centre Var-20","20",67.25
"RESEAU","Var Littoral","Var Littoral-32","32",108.47
"RESEAU","Var Littoral","Var Littoral-51","51",132.07
"RESEAU","Centre Var","Centre Var-12","12",77.1
"RESEAU","Var Littoral","Var Littoral-49","49",127.22
"RESEAU","Var Littoral","Var Littoral-10","10",149.43
"RESEAU","Centre Var","Centre Var-18","18",64.59
"RESEAU","Var Littoral","Var Littoral-22","22",276.22
"RESEAU","Var Littoral","Var Littoral-23","23",272.66
"RESEAU","Centre Var","Centre Var-41","41",89.36
"RESEAU","Var Littoral","Var Littoral-44","44",133.45
"RESEAU","Centre Var","Centre Var-03","03",109.85
"RESEAU","Var Littoral","Var Littoral-20","20",291.5
"RESEAU","Centre Var","Centre Var-36","36",74.11
"RESEAU","Var Littoral","Var Littoral-42","42",266.52
"RESEAU","Var Littoral","Var Littoral-05","05",126.76
"RESEAU","Centre Var","Centre Var-19","19",71.17
"RESEAU","Var Littoral","Var Littoral-38","38",263.96
"RESEAU","Var Littoral","Var Littoral-17","17",265.08
"RESEAU","Var Littoral","Var Littoral-33","33",118
"RESEAU","Centre Var","Centre Var-37","37",73.92
"RESEAU","Centre Var","Centre Var-39","39",74.34
"RESEAU","Centre Var","Centre Var-45","45",128.98
"RESEAU","Centre Var","Centre Var-47","47",254.08
"RESEAU","Centre Var","Centre Var-43","43",103.41
"RESEAU","Centre Var","Centre Var-48","48",267.8
"RESEAU","Var Littoral","Var Littoral-25","25",114.81
"RESEAU","Centre Var","Centre Var-32","32",88.4
"RESEAU","Var Littoral","Var Littoral-47","47",123.51
"RESEAU","Centre Var","Centre Var-52","52",122.49
"RESEAU","Centre Var","Centre Var-01","01",93.48
"RESEAU","Centre Var","Centre Var-28","28",120.7
"RESEAU","Var Littoral","Var Littoral-35","35",271.75
"RESEAU","Var Littoral","Var Littoral-04","04",109.35
"RESEAU","Centre Var","Centre Var-08","08",90.87
"RESEAU","Var Littoral","Var Littoral-21","21",287.4
"RESEAU","Centre Var","Centre Var-30","30",77.82
"RESEAU","Var Littoral","Var Littoral-31","31",116.52
"RESEAU","Centre Var","Centre Var-27","27",157.52
"RESEAU","Var Littoral","Var Littoral-34","34",103.41
"RESEAU","Var Littoral","Var Littoral-36","36",276.6
"RESEAU","Var Littoral","Var Littoral-41","41",279.06
"RESEAU","Centre Var","Centre Var-50","50",182
"RESEAU","Centre Var","Centre Var-51","51",147.63
"RESEAU","Centre Var","Centre Var-06","06",85.82
"RESEAU","Centre Var","Centre Var-07","07",76.8
