"Profil","Secteur","Key_Secteur_Week","Date_Week1","Capacite_Station"
"STATION","Centre Var","Centre Var-07","07",176.58
"STATION","Var Littoral","Var Littoral-23","23",372.92
"STATION","Centre Var","Centre Var-31","31",172.4
"STATION","Var Littoral","Var Littoral-38","38",324.58
"STATION","Centre Var","Centre Var-13","13",190.97
"STATION","Var Littoral","Var Littoral-19","19",335.85
"STATION","Var Littoral","Var Littoral-31","31",378.17
"STATION","Centre Var","Centre Var-19","19",161.54
"STATION","Centre Var","Centre Var-27","27",188.95
"STATION","Centre Var","Centre Var-38","38",157.57
"STATION","Var Littoral","Var Littoral-46","46",319.17
"STATION","Centre Var","Centre Var-01","01",188.67
"STATION","Centre Var","Centre Var-02","02",168.58
"STATION","Var Littoral","Var Littoral-18","18",313.33
"STATION","Var Littoral","Var Littoral-32","32",368
"STATION","Centre Var","Centre Var-49","49",181.92
"STATION","Var Littoral","Var Littoral-01","01",277.83
"STATION","Centre Var","Centre Var-16","16",163.75
"STATION","Var Littoral","Var Littoral-28","28",319.58
"STATION","Centre Var","Centre Var-37","37",170.33
"STATION","Centre Var","Centre Var-39","39",182.3
"STATION","Centre Var","Centre Var-47","47",171.17
"STATION","Var Littoral","Var Littoral-51","51",291.46
"STATION","Var Littoral","Var Littoral-08","08",300.25
"STATION","Centre Var","Centre Var-09","09",190.5
"STATION","Centre Var","Centre Var-10","10",174.5
"STATION","Centre Var","Centre Var-22","22",174.45
"STATION","Centre Var","Centre Var-24","24",179.34
"STATION","Var Littoral","Var Littoral-29","29",358.75
"STATION","Centre Var","Centre Var-15","15",188.08
"STATION","Centre Var","Centre Var-17","17",181.96
"STATION","Centre Var","Centre Var-26","26",175.19
"STATION","Var Littoral","Var Littoral-26","26",402.05
"STATION","Centre Var","Centre Var-33","33",174.17
"STATION","Var Littoral","Var Littoral-40","40",325.5
"STATION","Var Littoral","Var Littoral-13","13",389.8
"STATION","Var Littoral","Var Littoral-17","17",348.78
"STATION","Centre Var","Centre Var-18","18",179.5
"STATION","Var Littoral","Var Littoral-49","49",325.68
"STATION","Var Littoral","Var Littoral-50","50",332.57
"STATION","Centre Var","Centre Var-14","14",180.65
"STATION","Var Littoral","Var Littoral-24","24",334.5
"STATION","Var Littoral","Var Littoral-44","44",305.67
"STATION","Var Littoral","Var Littoral-02","02",298.67
"STATION","Var Littoral","Var Littoral-14","14",331.5
"STATION","Centre Var","Centre Var-21","21",200.48
"STATION","Centre Var","Centre Var-48","48",177.25
"STATION","Centre Var","Centre Var-50","50",197.02
"STATION","Var Littoral","Var Littoral-36","36",339.7
"STATION","Var Littoral","Var Littoral-37","37",381.75
"STATION","Var Littoral","Var Littoral-06","06",316.5
"STATION","Var Littoral","Var Littoral-09","09",306.51
"STATION","Centre Var","Centre Var-42","42",156.1
"STATION","Var Littoral","Var Littoral-52","52",349.62
"STATION","Var Littoral","Var Littoral-04","04",319.76
"STATION","Var Littoral","Var Littoral-10","10",314.87
"STATION","Var Littoral","Var Littoral-12","12",338.57
"STATION","Var Littoral","Var Littoral-35","35",339.68
"STATION","Var Littoral","Var Littoral-03","03",301.06
"STATION","Centre Var","Centre Var-12","12",162.75
"STATION","Centre Var","Centre Var-30","30",205.84
"STATION","Var Littoral","Var Littoral-34","34",334.33
"STATION","Centre Var","Centre Var-46","46",150
"STATION","Centre Var","Centre Var-03","03",182.17
"STATION","Var Littoral","Var Littoral-21","21",396.3
"STATION","Var Littoral","Var Littoral-27","27",359.23
"STATION","Var Littoral","Var Littoral-41","41",339
"STATION","Var Littoral","Var Littoral-47","47",324.48
"STATION","Centre Var","Centre Var-25","25",175.3
"STATION","Centre Var","Centre Var-41","41",171.67
"STATION","Centre Var","Centre Var-04","04",191.08
"STATION","Var Littoral","Var Littoral-05","05",302.67
"STATION","Centre Var","Centre Var-06","06",180.75
"STATION","Centre Var","Centre Var-08","08",199.25
"STATION","Var Littoral","Var Littoral-16","16",324.75
"STATION","Var Littoral","Var Littoral-20","20",291.5
"STATION","Centre Var","Centre Var-32","32",175.75
"STATION","Centre Var","Centre Var-36","36",174.12
"STATION","Var Littoral","Var Littoral-39","39",336.17
"STATION","Var Littoral","Var Littoral-11","11",328
"STATION","Centre Var","Centre Var-40","40",175.13
"STATION","Centre Var","Centre Var-51","51",162.17
"STATION","Centre Var","Centre Var-52","52",167.88
"STATION","Centre Var","Centre Var-05","05",227.42
"STATION","Var Littoral","Var Littoral-07","07",282.42
"STATION","Var Littoral","Var Littoral-15","15",365.83
"STATION","Centre Var","Centre Var-23","23",178.14
"STATION","Centre Var","Centre Var-28","28",178
"STATION","Var Littoral","Var Littoral-30","30",393.25
"STATION","Centre Var","Centre Var-35","35",178.14
"STATION","Centre Var","Centre Var-20","20",194
"STATION","Var Littoral","Var Littoral-22","22",348.25
"STATION","Centre Var","Centre Var-29","29",192.99
"STATION","Centre Var","Centre Var-34","34",181.08
"STATION","Centre Var","Centre Var-44","44",159
"STATION","Centre Var","Centre Var-45","45",154.08
"STATION","Var Littoral","Var Littoral-45","45",281.04
"STATION","Centre Var","Centre Var-11","11",175.48
"STATION","Var Littoral","Var Littoral-25","25",346.15
"STATION","Var Littoral","Var Littoral-33","33",345.25
"STATION","Var Littoral","Var Littoral-48","48",327.12
"STATION","Var Littoral","Var Littoral-42","42",301.33
"STATION","Centre Var","Centre Var-43","43",203.33
"STATION","Var Littoral","Var Littoral-43","43",330.13
