"Case_Id","LeadingCause","CaseNumber","Variance"
"500B000000337EGIAY","of other factors",16380,0.9179999999999999
"500B000000337EHIAY","Product_Family_KB__c is Computers and Priority is High",16381,-1.341
"500B000000337EHIAY","Field_Service__c is true",16381,0.883
"500B000000337EJIAY","Field_Service__c is true",16383,0.883
"500B000000337EKIAY","from the baseline",16384,80.39
"500B000000337ELIAY","of other factors",16385,0.47600000000000003
"500B000000337EPIAY","Product_Family_KB__c is Cables",16389,-0.92
"500B000000337ERIAY","Origin is Chat and Field_Service__c is false",16391,-0.8109999999999999
"500B000000337ERIAY","from the baseline",16391,80.39
"500B000000337EWIAY","Product_Family_KB__c is Tablets and Offer_Voucher__c is false",16396,0.826
"500B000000337EcIAI","Field_Service__c is true",16402,0.883
"500B000000337JxIAI","Origin is Email and Field_Service__c is false",16728,-0.732
"500B000000337K1IAI","Product_Family_KB__c is Tablets and Priority is Medium",16732,-1.4809999999999999
"500B000000337K4IAI","Field_Service__c is false",16735,-0.8320000000000001
"500B000000337K6IAI","Field_Service__c is false",16737,-0.8320000000000001
"500B000000337K9IAI","Origin is Email and Field_Service__c is false",16740,-0.732
"500B000000337KDIAY","Product_Family_KB__c is Video Games",16744,-1.016
"500B000000337KDIAY","Product_Family_KB__c is Video Games and MilestoneStatus__c is Closed - Compliant",16744,-0.9059999999999999
"500B000000337KDIAY","of other factors",16744,1.228
"500B000000337KEIAY","Product_Family_KB__c is Video Games and Offer_Voucher__c is false",16745,-1.121
"500B000000337KEIAY","Product_Family_KB__c is Video Games",16745,-1.016
"500B000000337KGIAY","Product_Family_KB__c is Cameras and Priority is High",16747,1.077
"500B000000337EfIAI","Product_Family_KB__c is Video Games",16405,-1.016
"500B000000337EgIAI","Product_Family_KB__c is Video Games and Offer_Voucher__c is false",16406,-1.121
"500B000000337EjIAI","of other factors",16409,1.099
"500B000000337ElIAI","Origin is Chat and Product_Family_KB__c is Home Audio",16411,-0.6709999999999999
"500B000000337EmIAI","Field_Service__c is false",16412,-0.8320000000000001
"500B000000337EnIAI","Product_Family_KB__c is Video Games and Offer_Voucher__c is false",16413,-1.121
"500B000000337EpIAI","Product_Family_KB__c is Cables",16415,-0.92
"500B000000337EpIAI","from the baseline",16415,80.39
"500B000000337ErIAI","Product_Family_KB__c is Cameras and Offer_Voucher__c is false",16417,1.035
"500B000000337ErIAI","Product_Family_KB__c is Cameras",16417,1.02
"500B000000337EuIAI","Product_Family_KB__c is Headphones and Priority is Low",16420,-1.012
"500B000000337EvIAI","Product_Family_KB__c is Tablets and Offer_Voucher__c is false",16421,0.826
"500B000000337EwIAI","Field_Service__c is false",16422,-0.8320000000000001
"500B000000337ExIAI","Origin is Chat and Product_Family_KB__c is Video Games",16423,0.853
"500B000000337ExIAI","of other factors",16423,-2.2569999999999997
"500B000000337ExIAI","from the baseline",16423,80.39
"500B000000337EyIAI","Product_Family_KB__c is Video Games and Status is Closed",16424,-1.025
"500B000000337EyIAI","of other factors",16424,-4.006
"500B000000337EyIAI","from the baseline",16424,80.39
"500B000000337KKIAY","Product_Family_KB__c is DVD Players and Priority is High",16751,-1.712
"500B000000337KNIAY","Field_Service__c is false",16754,-0.8320000000000001
"500B000000337KPIAY","Origin is Email and Type_of_Support__c is Platinum",16756,0.664
"500B000000337KRIAY","Origin is Email and Field_Service__c is true",16758,0.8959999999999999
"500B000000337KSIAY","Field_Service__c is false",16759,-0.8320000000000001
"500B000000337KTIAY","Field_Service__c is true",16760,0.883
"500B000000337KUIAY","Origin is Email and Field_Service__c is false",16761,-0.732
"500B000000337KZIAY","of other factors",16766,-1.504
"500B000000337KdIAI","of other factors",16770,0.322
"500B000000337F0IAI","Origin is Chat and Field_Service__c is false",16426,-0.8109999999999999
"500B000000337F1IAI","Field_Service__c is true",16427,0.883
"500B000000337F4IAI","Product_Family_KB__c is Video Games",16430,-1.016
"500B000000337F4IAI","from the baseline",16430,80.39
"500B000000337F5IAI","Product_Family_KB__c is Cables",16431,-0.92
"500B000000337F7IAI","Product_Family_KB__c is Cameras",16433,1.02
"500B000000337F9IAI","from the baseline",16435,80.39
"500B000000337FEIAY","Origin is Chat and Product_Family_KB__c is Video Games",16440,0.853
"500B000000337FFIAY","Product_Family_KB__c is Cameras",16441,1.02
"500B000000337FGIAY","of other factors",16442,-3.188
"500B000000337FKIAY","from the baseline",16446,80.39
"500B000000337FMIAY","Origin is Chat and Field_Service__c is false",16448,-0.8109999999999999
"500B000000337KfIAI","Field_Service__c is false",16772,-0.8320000000000001
"500B000000337KhIAI","Product_Family_KB__c is Tablets and Offer_Voucher__c is false",16774,0.826
"500B000000337KhIAI","Product_Family_KB__c is Tablets",16774,0.815
"500B000000337KiIAI","Product_Family_KB__c is Tablets and Priority is Medium",16775,-1.4809999999999999
"500B000000337KiIAI","from the baseline",16775,80.39
"500B000000337KlIAI","of other factors",16778,1.771
"500B000000337KmIAI","of other factors",16779,2.582
"500B000000337KpIAI","Field_Service__c is false",16782,-0.8320000000000001
"500B000000337KrIAI","Origin is Email and Field_Service__c is false",16784,-0.732
"500B000000337KrIAI","of other factors",16784,3.654
"500B000000337KrIAI","from the baseline",16784,80.39
"500B000000337KuIAI","Origin is Email and Field_Service__c is true",16787,0.8959999999999999
"500B000000337KvIAI","Product_Family_KB__c is Video Games and MilestoneStatus__c is Closed - Compliant",16788,-0.9059999999999999
"500B000000337KxIAI","Product_Family_KB__c is Cameras",16790,1.02
"500B000000337KyIAI","Field_Service__c is false",16791,-0.8320000000000001
"500B000000337KzIAI","Origin is Email and Field_Service__c is false",16792,-0.732
"500B000000337L0IAI","of other factors",16793,-1.047
"500B000000337FNIAY","Field_Service__c is false",16449,-0.8320000000000001
"500B000000337FPIAY","Field_Service__c is false",16451,-0.8320000000000001
"500B000000337FQIAY","of other factors",16452,0.866
"500B000000337FTIAY","from the baseline",16455,80.39
"500B000000337FVIAY","of other factors",16457,-0.564
"500B000000337FWIAY","Origin is Chat and Field_Service__c is false",16458,-0.8109999999999999
"500B000000337FXIAY","from the baseline",16459,80.39
"500B000000337FZIAY","Product_Family_KB__c is Video Games",16461,-1.016
"500B000000337FbIAI","of other factors",16463,-0.879
"500B000000337FcIAI","Product_Family_KB__c is Cell Phones and Priority is Medium",16464,1.0490000000000002
"500B000000337FcIAI","of other factors",16464,-1.511
"500B000000337FdIAI","Origin is Chat and Field_Service__c is false",16465,-0.8109999999999999
"500B000000337FeIAI","from the baseline",16466,80.39
"500B000000337FfIAI","Field_Service__c is true",16467,0.883
"500B000000337FfIAI","Origin is Chat and Field_Service__c is true",16467,0.8079999999999999
"500B000000337FgIAI","Origin is Chat and Field_Service__c is false",16468,-0.8109999999999999
"500B000000337FgIAI","from the baseline",16468,80.39
"500B000000337FhIAI","Product_Family_KB__c is Home Audio and Priority is Medium",16469,-1.392
"500B000000337FjIAI","Field_Service__c is true",16471,0.883
"500B000000337L2IAI","Origin is Email and Field_Service__c is true",16795,0.8959999999999999
"500B000000337L2IAI","from the baseline",16795,80.39
"500B000000337L5IAI","Product_Family_KB__c is Cables and Offer_Voucher__c is false",16798,-1.063
"500B000000337L6IAI","Product_Family_KB__c is Cameras and Priority is High",16799,1.077
"500B000000337L7IAI","Product_Family_KB__c is Cameras",16800,1.02
"500B000000337L7IAI","of other factors",16800,1.266
"500B000000337L9IAI","Origin is Email and Field_Service__c is false",16802,-0.732
"500B000000337L9IAI","of other factors",16802,-2.6839999999999997
"500B000000337LCIAY","of other factors",16805,1.26
"500B000000337LDIAY","Product_Family_KB__c is TVs and Priority is High",16806,-0.7559999999999999
"500B000000337LDIAY","of other factors",16806,-0.44799999999999995
"500B000000337LEIAY","Product_Family_KB__c is Video Games and Status is Closed",16807,-1.025
"500B000000337LEIAY","Product_Family_KB__c is Video Games",16807,-1.016
"500B000000337LEIAY","of other factors",16807,-3.202
"500B000000337LHIAY","Field_Service__c is false",16810,-0.8320000000000001
"500B000000337LJIAY","Product_Family_KB__c is DVD Players and Priority is Low",16812,-0.693
"500B000000337LJIAY","from the baseline",16812,80.39
"500B000000337LLIAY","Product_Family_KB__c is Headphones and Priority is Low",16814,-1.012
"500B000000337LMIAY","Field_Service__c is false",16815,-0.8320000000000001
"500B000000337LMIAY","of other factors",16815,3.444
"500B000000337FkIAI","Field_Service__c is false",16472,-0.8320000000000001
"500B000000337FlIAI","of other factors",16473,0.47600000000000003
"500B000000337FoIAI","Product_Family_KB__c is Headphones and Priority is Low",16476,-1.012
"500B000000337FoIAI","Origin is Chat and Reason is Documentation",16476,0.938
"500B000000337FpIAI","Field_Service__c is false",16477,-0.8320000000000001
"500B000000337FqIAI","of other factors",16478,-0.779
"500B000000337FtIAI","Product_Family_KB__c is Cameras",16481,1.02
"500B000000337FuIAI","of other factors",16482,-4.178999999999999
"500B000000337FvIAI","Origin is Chat and Reason is Documentation",16483,0.938
"500B000000337FvIAI","of other factors",16483,-4.086
"500B000000337G2IAI","Origin is Chat and Field_Service__c is false",16490,-0.8109999999999999
"500B000000337G2IAI","from the baseline",16490,80.39
"500B000000337LPIAY","Field_Service__c is false",16818,-0.8320000000000001
"500B000000337LQIAY","Product_Family_KB__c is Tablets and Offer_Voucher__c is false",16819,0.826
"500B000000337LRIAY","of other factors",16820,2.476
"500B000000337LRIAY","from the baseline",16820,80.39
"500B000000337LTIAY","Product_Family_KB__c is Video Games",16822,-1.016
"500B000000337LXIAY","of other factors",16826,1.535
"500B000000337LaIAI","of other factors",16829,-1.79
"500B000000337LbIAI","from the baseline",16830,80.39
"500B000000337LcIAI","from the baseline",16831,80.39
"500B000000337LeIAI","of other factors",16833,2.898
"500B000000337LfIAI","Product_Family_KB__c is Home Audio and Priority is Medium",16834,-1.392
"500B000000337LhIAI","from the baseline",16836,80.39
"500B000000337LiIAI","of other factors",16837,0.522
"500B000000337LiIAI","from the baseline",16837,80.39
"500B000000337G9IAI","Product_Family_KB__c is Computers and Priority is Medium",16497,-0.838
"500B000000337G9IAI","Origin is Chat and Field_Service__c is true",16497,0.8079999999999999
"500B000000337GBIAY","from the baseline",16499,80.39
"500B000000337GCIAY","of other factors",16500,-0.312
"500B000000337GEIAY","Product_Family_KB__c is Cameras and Offer_Voucher__c is false",16502,1.035
"500B000000337GFIAY","Origin is Chat and Field_Service__c is false",16503,-0.8109999999999999
"500B000000337GIIAY","of other factors",16506,0.669
"500B000000337GNIAY","from the baseline",16511,80.39
"500B000000337GOIAY","Field_Service__c is false",16512,-0.8320000000000001
"500B000000337GOIAY","of other factors",16512,-0.5429999999999999
"500B000000337GQIAY","Origin is Chat and Reason is Documentation",16514,0.938
"500B000000337GSIAY","Product_Family_KB__c is Cameras and Offer_Voucher__c is false",16516,1.035
"500B000000337GSIAY","of other factors",16516,0.113
"500B000000337GTIAY","Product_Family_KB__c is Cell Phones and Priority is Medium",16517,1.0490000000000002
"500B000000337GTIAY","Field_Service__c is false",16517,-0.8320000000000001
"500B000000337GTIAY","Origin is Chat and Field_Service__c is false",16517,-0.8109999999999999
"500B000000337LnIAI","Origin is Email and Field_Service__c is false",16842,-0.732
"500B000000337LrIAI","Field_Service__c is true",16846,0.883
"500B000000337LrIAI","of other factors",16846,1.0
"500B000000337LsIAI","Origin is Email and Field_Service__c is false",16847,-0.732
"500B000000337LuIAI","Field_Service__c is false",16849,-0.8320000000000001
"500B000000337LwIAI","Product_Family_KB__c is Video Games",16851,-1.016
"500B000000337LyIAI","Product_Family_KB__c is Cameras",16853,1.02
"500B000000337M1IAI","Product_Family_KB__c is Computers and Priority is Low",16856,2.516
"500B000000337M2IAI","Origin is Email and Field_Service__c is true",16857,0.8959999999999999
"500B000000337M6IAI","of other factors",16861,2.761
"500B000000337AZIAY","from the baseline",16151,80.39
"500B000000337AaIAI","Product_Family_KB__c is Tablets and Offer_Voucher__c is false",16152,0.826
"500B000000337AbIAI","Field_Service__c is false",16153,-0.8320000000000001
"500B000000337AeIAI","of other factors",16156,-3.535
"500B000000337AkIAI","Product_Family_KB__c is Video Games and Status is Closed",16162,-1.025
"500B000000337AkIAI","from the baseline",16162,80.39
"500B000000337AoIAI","Product_Family_KB__c is Cameras and Priority is High",16166,1.077
"500B000000337AoIAI","Product_Family_KB__c is Cameras",16166,1.02
"500B000000337AqIAI","Origin is Chat and Offer_Voucher__c is false",16168,-0.634
"500B000000337AsIAI","of other factors",16170,0.7829999999999999
"500B000000337AuIAI","Field_Service__c is false",16172,-0.8320000000000001
"500B000000337AvIAI","of other factors",16173,-2.0069999999999997
"500B000000337GUIAY","of other factors",16518,-2.826
"500B000000337GVIAY","Field_Service__c is false",16519,-0.8320000000000001
"500B000000337GVIAY","of other factors",16519,-0.903
