"Prescription","Case_Id","CaseNumber","Variance"
"Change Field_Service__c to true","500B000000337EGIAY",16380,3.968
"Change Offer_Voucher__c to true","500B000000337EHIAY",16381,2.332
"Change Offer_Voucher__c to true","500B000000337EJIAY",16383,1.973
"Change Field_Service__c to true","500B000000337EKIAY",16384,3.923
"Change Offer_Voucher__c to true","500B000000337EKIAY",16384,2.044
"Change Field_Service__c to true","500B000000337ELIAY",16385,3.923
"Change Offer_Voucher__c to true","500B000000337EMIAY",16386,2.022
"Change Field_Service__c to true","500B000000337ENIAY",16387,3.923
"Change Offer_Voucher__c to true","500B000000337ENIAY",16387,2.9019999999999997
"Change Offer_Voucher__c to true","500B000000337EOIAY",16388,2.6919999999999997
"Change Field_Service__c to true","500B000000337EPIAY",16389,4.082
"Change Offer_Voucher__c to true","500B000000337EQIAY",16390,2.142
"Change Field_Service__c to true","500B000000337ERIAY",16391,3.968
"Change Field_Service__c to true","500B000000337ESIAY",16392,3.968
"Change Field_Service__c to true","500B000000337ETIAY",16393,3.8939999999999997
"Change Offer_Voucher__c to true","500B000000337ETIAY",16393,3.3089999999999997
"Change Offer_Voucher__c to true","500B000000337EVIAY",16395,2.044
"Change Offer_Voucher__c to true","500B000000337EWIAY",16396,1.726
"Change Offer_Voucher__c to true","500B000000337EYIAY",16398,2.9019999999999997
"Change Offer_Voucher__c to true","500B000000337EZIAY",16399,2.863
"Change Field_Service__c to true","500B000000337JxIAI",16728,4.09
"Change Offer_Voucher__c to true","500B000000337JxIAI",16728,2.967
"Change Offer_Voucher__c to true","500B000000337JzIAI",16730,2.276
"Change Offer_Voucher__c to true","500B000000337K0IAI",16731,2.237
"Change Offer_Voucher__c to true","500B000000337K1IAI",16732,1.555
"Change Offer_Voucher__c to true","500B000000337K2IAI",16733,1.4969999999999999
"Change Field_Service__c to true","500B000000337K4IAI",16735,3.931
"Change Offer_Voucher__c to true","500B000000337K4IAI",16735,3.18
"Change Offer_Voucher__c to true","500B000000337K5IAI",16736,2.927
"Change Offer_Voucher__c to true","500B000000337K6IAI",16737,1.703
"Change Offer_Voucher__c to true","500B000000337K9IAI",16740,2.6689999999999996
"Change Field_Service__c to true","500B000000337KCIAY",16743,3.903
"Change Offer_Voucher__c to true","500B000000337KCIAY",16743,2.237
"Change Offer_Voucher__c to true","500B000000337KEIAY",16745,4.065
"Change Field_Service__c to true","500B000000337EdIAI",16403,3.923
"Change Field_Service__c to true","500B000000337EeIAI",16404,3.923
"Change Offer_Voucher__c to true","500B000000337EeIAI",16404,2.7769999999999997
"Change Offer_Voucher__c to true","500B000000337EiIAI",16408,3.8689999999999998
"Change Field_Service__c to true","500B000000337EjIAI",16409,3.991
"Change Offer_Voucher__c to true","500B000000337EjIAI",16409,2.385
"Change Offer_Voucher__c to true","500B000000337EkIAI",16410,2.915
"Change Field_Service__c to true","500B000000337ElIAI",16411,4.0089999999999995
"Change Offer_Voucher__c to true","500B000000337ElIAI",16411,2.124
"Change Field_Service__c to true","500B000000337EmIAI",16412,4.249
"Change Offer_Voucher__c to true","500B000000337EmIAI",16412,1.919
"Change Field_Service__c to true","500B000000337EqIAI",16416,4.152
"Change Offer_Voucher__c to true","500B000000337EqIAI",16416,1.7480000000000002
"Change Field_Service__c to true","500B000000337ErIAI",16417,4.152
"Change Field_Service__c to true","500B000000337EsIAI",16418,3.991
"Change Offer_Voucher__c to true","500B000000337EsIAI",16418,2.3890000000000002
