"RetailStoreGroup_Name","StoreType","Priority","State_City","OrderItem_Unique_Products","Avg_High_Priority_Visits_Planned","Avg_Products","Facing_Compliance","Inventory_Compliance","Avg_Visits_Planned","Avg_InStore_Locations","NetPromoterScore","PlannedVisits_Total_Visits_Planned","Promotion_Compliance","Avg_Promotions","Avg_Facing_Compliance","RetailVisitKpi_Number_of_Promotions","Avg_Promotion_Compliance","Case_Cases_Count","PlannedVisits_Total_High_Priority_Visits_Planned","Avg_Inventory_Compliance","Avg_Visit_Duration","Avg_SoS_Compliance","ShareOfShelf_Compliance","OutOfStock_Compliance","OrderItem_Quantity","Percent_High_Priority_Visits_Completed","Percent_Successful_Visits","InStoreLocation_Number_of_InStoreLocations","Avg_OOS_Compliance"
"Midwest","Regular","High","SD - Sioux Falls",20,14,4,88.06,83.73,42.6,2,0,45,2.12,6.6,85.79,9,0.83,0,16,79.65,49,85.24,85.29,36.71,23518,56.25,83.33,2,32.29
"West","Regular","Medium","MD - Baltimore",20,14.6,4,86.74,74.91,47.8,2,0,53,0.89,7.6,85.45,10,1.06,0,17,74.86,55,84.32,85.17,40.82,27477,58.82,85.71,2,39.46
"Bay Area","Regular","Low","PA - Kulpsville",20,13.8,4,92.47,69.5,45.6,2,0,43,1.13,6.4,92.03,8,0.72,0,14,78.14,50,76.47,74.55,43.24,27553,78.57,83.33,2,38.75
"South","Regular","Low","NY - Middle Island",20,15,4,94.76,80.5,46,2,0,51,0,6.2,94.06,5,0.74,0,14,83.29,52,73.29,74.86,34.88,24277,57.14,80,2,33.12
"Northeast","Regular","High","CA - Los Angeles",20,12.2,4,82.7,84.92,45,2,0,52,0.62,6.8,85.48,7,0.83,0,14,80.87,56,85.7,87.61,28.74,20804,57.14,85.37,2,33.11
"Midwest","Regular","Medium","OH - Chagrin Falls",20,14,4,87.55,87.39,42.6,2,0,48,0,6.6,85.79,5,0.83,0,18,79.65,47,85.24,80.82,25.64,21793,66.67,84.62,2,32.29
"Bay Area","Regular","Low","AZ - Phoenix",19,13.8,4,93.54,73.92,45.6,2,0,51,0,6.4,92.03,5,0.72,0,12,78.14,51,76.47,74.84,38.96,22630,58.33,81.08,2,38.75
"South","Regular","High","TN - Mc Minnville",20,15,4,93.98,82.75,46,2,0,42,0,6.2,94.06,5,0.74,0,14,83.29,53,73.29,71.86,31.88,32697,64.29,85.71,2,33.12
"Northeast","Regular","Medium","WI - Milwaukee",20,12.2,4,82.23,76.2,45,2,0,40,1.05,6.8,85.48,7,0.83,1,11,80.87,55,85.7,82.86,26.03,21903,72.73,88.24,2,33.11
"Midwest","Regular","Low","MI - Taylor",20,14,4,81.49,79.73,42.6,2,0,39,0,6.6,85.79,5,0.83,0,10,79.65,49,85.24,86.95,30,17381,60,83.33,2,32.29
