"Description","Id","CatalogId","ParentCategoryId","Name","NumberOfProducts"
"Description of Product Category 1","0ZGB00000000DrkOAE","0ZSB00000000CeMOAU",,"Cereal",2
"Description of Product Category 3","0ZGB00000000DrlOAE","0ZSB00000000CeMOAU","0ZGB00000000DrtOAE","Post",1
"Description of Product Category 5","0ZGB00000000DrmOAE","0ZSB00000000CeMOAU",,"Energy Bars",19
"Description of Product Category 7","0ZGB00000000DrnOAE","0ZSB00000000CeMOAU","0ZGB00000000DrtOAE","Pre",4
"Description of Product Category 6","0ZGB00000000DroOAE","0ZSB00000000CeLOAU",,"Coffee Machines",3
"Description of Product Category 8","0ZGB00000000DrpOAE","0ZSB00000000CeLOAU",,"Coolers & Vending Machines",3
,"0ZGB00000000DrqOAE","0ZSB00000000CeKOAU",,"Smart Dispensers",4
"Description of Product Category 4","0ZGB00000000DrrOAE","0ZSB00000000CeLOAU",,"Energy Drink Powder",1
"Description of Product Category 2","0ZGB00000000DrsOAE","0ZSB00000000CeLOAU",,"Accessories",2
"Description of Product Category 9","0ZGB00000000DrtOAE","0ZSB00000000CeMOAU",,"Energy Drinks",8
"Description of Product Category 10","0ZGB00000000DruOAE","0ZSB00000000CeLOAU",,"Coffee",2
,"0ZGB0000000LC0sOAG","0ZSB00000000CeMOAU","0ZGB00000000DrtOAE","During",2
