"IsDeleted","Category","Description","IsActive","LastProcessedDate","EndDate","Name","SystemModstamp","StartDate","Objective","OwnerId","CreatedDate","Level","Dummy_Key","Id","Methods","EndDate_Computed"
"false","Sales Promotion","Description of Dmart Store Promotion 37","true","2021-01-29","2020-12-03","65% Off","2021-04-21","2018-07-03","Objective of Dmart Store Promotion 37","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DehIAE","Free Services","2020-12-03"
"false","Pubicity","Description of Dmart Store Promotion 18","true","2021-01-29","2020-12-03","50% Off on Second","2021-04-21","2018-07-02","Objective of Dmart Store Promotion 18","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DetIAE","Gifts","2020-12-03"
"false","Sales Promotion","Description of Dmart Store Promotion 43","true","2021-01-29","2020-12-02","18% Off","2021-04-21","2018-07-05","Objective of Dmart Store Promotion 43","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DelIAE","Coupons","2020-12-02"
"false","Advertising","Description of Dmart Store Promotion 11","true","2021-01-29","2020-12-03","$1 Off","2021-04-21","2018-07-01","Objective of Dmart Store Promotion 11","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DedIAE","Display and Exhibition","2020-12-03"
"false","Personal Selling","Description of Dmart Store Promotion 22","true","2021-01-29","2020-12-01","$25 Off Next Purchase","2021-04-21","2018-07-03","Objective of Dmart Store Promotion 22","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DeKIAU","Discounts","2020-12-01"
"false","Advertising","Description of Dmart Store Promotion 41","true","2021-01-29","2020-12-02","77% Off","2021-04-21","2018-07-01","Objective of Dmart Store Promotion 41","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DenIAE","Display and Exhibition","2020-12-02"
"false","Pubicity","Description of Dmart Store Promotion 24","true","2021-01-29","2020-11-29","$15 Off Next Purchase","2021-04-21","2018-07-05","Objective of Dmart Store Promotion 24","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DeLIAU","Sampling and Demonstration","2020-11-29"
"false",,,"true","2021-01-29",,"20% Off","2021-04-21","2020-09-16",,"005B0000007DFG6IAO","2021-04-21",,"NA","0c8B00000004DeDIAU",,"2021-06-08"
"false","Pubicity","Description of Dmart Store Promotion 8","true","2021-01-29","2020-11-29","50% Extra","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 8","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeZIAU","Gifts","2020-11-29"
"false","Sales Promotion","Description of Dmart Store Promotion 17","true","2021-01-29","2020-11-30","60% Off","2021-04-21","2018-07-03","Objective of Dmart Store Promotion 17","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004De5IAE","Free Services","2020-11-30"
"false","Pubicity","Description of Dmart Store Promotion 34","true","2021-01-29","2020-11-29","35% Off","2021-04-21","2018-07-03","Objective of Dmart Store Promotion 34","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DeaIAE","Sampling and Demonstration","2020-11-29"
"false","Sales Promotion","Description of Dmart Store Promotion 13","true","2021-01-29","2020-12-02","25% Off","2021-04-21","2018-07-01","Objective of Dmart Store Promotion 13","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004De6IAE","Coupons","2020-12-02"
"false","Sales Promotion","Description of Dmart Store Promotion 23","true","2021-01-29","2020-12-02","75% Off","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 23","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DemIAE","Coupons","2020-12-02"
"false","Sales Promotion","Description of Dmart Store Promotion 47","true","2021-01-29","2020-11-29","10% Extra","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 47","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DeXIAU","Free Services","2020-11-29"
"false","Advertising","Description of Dmart Store Promotion 15","true","2021-01-29","2020-12-03","40% Off","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 15","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004De3IAE","Trade Show","2020-12-03"
"false",,,"false","2021-01-29",,"Store Promotion1","2021-04-21","2020-10-13",,"005B0000007DFG6IAO","2021-04-21",,"NA","0c8B00000004DeJIAU",,"2021-06-08"
"false","Pubicity","Description of Dmart Store Promotion 48","true","2021-01-29","2020-12-03","20% Extra","2021-04-21","2018-07-01","Objective of Dmart Store Promotion 48","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DerIAE","Gifts","2020-12-03"
"false","Personal Selling","Description of Dmart Store Promotion 26","true","2021-01-29","2020-12-01","$10 Coupons","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 26","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DefIAE","Exchange Offer","2020-12-01"
"false",,,"true","2021-01-29",,"Buy1 Get1","2021-04-21","2020-07-18",,"005B0000007DFG6IAO","2021-04-21",,"NA","0c8B00000004De8IAE",,"2021-06-08"
"false","Advertising","Description of Dmart Store Promotion 50","true","2021-01-29","2020-11-30","40% Extra","2021-04-21","2018-07-02","Objective of Dmart Store Promotion 50","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeRIAU","Contests","2020-11-30"
"false","Personal Selling","Description of Dmart Store Promotion 2","true","2021-01-29","2020-12-01","70% Off","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 2","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DejIAE","Discounts","2020-12-01"
