"Promotion_EndDate","AccountId","PromotionProductCategory_Promotion_ProductCategory_Name","PromotionId","RetailStoreId","LastProcessedDate","RetailStore_Id","PromotionProductCategory_Promotion_ProductCategoryId","Promotion_Name","EndDate","PromotionProduct_ProductId","EndDate_Temp","Name","StartDate","InStoreLocationId","RetailStore_Name","RetailLocationGroupId","Dummy_Key","Id","PromotionProduct_Product_Name","EndDate_Computed"
,"001B000001KBbEkIAL",,"0c8B0000000CdT6IAK",,"2021-01-29",,,"Store Promotion1","2021-08-13","01tB0000000ti7nIAA","2021-08-13","00000051","2021-07-15",,,,"NA","0cBB00000008RDxMAM","YetiBar Tart Cherry/Bison - Paleo","2021-08-13"
"2021-09-03",,"Accessories or Lip Balm","0c8B0000000L08FIAS","0YQB0000000L0BvOAK","2021-01-29","0YQB0000000L0BvOAK","0ZGB0000000L0ZjOAK","25% Off","2021-09-02","01tB0000000UI8VIAW","2021-09-02","00000042","2019-04-02",,"Fare Merchants - Brooklyn",,"NA","0cBB0000000L092MAC","Alpine Cooler","2021-09-02"
"2021-09-04",,"Accessories or Lip Balm","0c8B0000000L08HIAS","0YQB0000000L0CGOA0","2021-01-29","0YQB0000000L0CGOA0","0ZGB0000000L0ZkOAK","40% Off","2021-09-02","01tB0000000UI8VIAW","2021-09-02","00000005","2019-04-06",,"NTO Store - Ferry Plaza Market",,"NA","0cBB0000000L08RMAS","Alpine Cooler","2021-09-02"
"2021-09-01",,"Coffee Machines","0c8B0000000L08RIAS","0YQB0000000L0C7OAK","2021-01-29","0YQB0000000L0C7OAK","0ZGB0000000L0ZlOAK","$5 Coupons","2021-09-03","01tB0000000UI8WIAW","2021-09-03","00000048","2019-04-04",,"Alpine Nutrition - Noe Valley",,"NA","0cBB0000000L098MAC","Alpine Energy Drink - Tart Cherry","2021-09-03"
"2021-09-04",,"Accessories or Lip Balm","0c8B0000000L088IAC","0YQB0000000L0C0OAK","2021-01-29","0YQB0000000L0C0OAK","0ZGB0000000L0ZkOAK","25% Extra","2021-08-31","01tB0000000UI8ZIAW","2021-08-31","00000050","2019-04-03",,"Rondel Store - San Francisco Central",,"NA","0cBB0000000L09AMAS","Alpine Cooler","2021-08-31"
"2021-09-03",,"Accessories or Lip Balm","0c8B0000000L08ZIAS","0YQB0000000L0BxOAK","2021-01-29","0YQB0000000L0BxOAK","0ZGB0000000L0ZkOAK","22% Off","2021-08-31","01tB0000000UI8VIAW","2021-08-31","00000035","2019-04-05",,"NTO Store - Berkeley",,"NA","0cBB0000000L08vMAC","Alpine Cooler","2021-08-31"
"2021-09-03",,"Accessories or Lip Balm","0c8B0000000L08cIAC","0YQB0000000L0C0OAK","2021-01-29","0YQB0000000L0C0OAK","0ZGB0000000L0ZkOAK","55% Off","2021-09-01","01tB0000000UI8VIAW","2021-09-01","00000025","2019-04-06",,"Rondel Store - San Francisco Central",,"NA","0cBB0000000L08lMAC","Alpine Cooler","2021-09-01"
"2021-08-31",,"Accessories or Lip Balm","0c8B0000000L08AIAS","0YQB0000000L0C1OAK","2021-01-29","0YQB0000000L0C1OAK","0ZGB0000000L0ZjOAK","50% Extra","2021-09-01","01tB0000000UI8VIAW","2021-09-01","00000012","2019-04-05",,"Rondel Store - Austin East",,"NA","0cBB0000000L08YMAS","Alpine Cooler","2021-09-01"
,,,"0c8B0000000CdTLIA0","0YQB0000000L0C8OAK","2021-01-29","0YQB0000000L0C8OAK",,"$5 Off","2021-08-10","01tB0000000UI8UIAW","2021-08-10","00000054","2021-07-28",,"NTO Store - Noe Valley",,"NA","0cBB00000008REDMA2","Alpine Energy Drink - Chai","2021-08-10"
"2021-09-01",,"Cereal","0c8B0000000L08EIAS","0YQB0000000L0C6OAK","2021-01-29","0YQB0000000L0C6OAK","0ZGB0000000L0ZjOAK","10% Off","2021-09-01","01tB0000000UI8VIAW","2021-09-01","00000049","2019-04-04",,"Alpine Nutrition - Glendale",,"NA","0cBB0000000L099MAC","Alpine Cooler","2021-09-01"
"2021-08-31",,"Coffee Machines","0c8B0000000L08aIAC","0YQB0000000L0C2OAK","2021-01-29","0YQB0000000L0C2OAK","0ZGB0000000L0ZlOAK","35% Off","2021-09-04","01tB0000000UI8cIAG","2021-09-04","00000013","2019-04-05",,"Rondel Store - Chicago Streeterville",,"NA","0cBB0000000L08ZMAS","Alpine Energy Drink - Green Tea","2021-09-04"
"2021-09-04",,"Cereal","0c8B0000000L08oIAC","0YQB0000000L0CHOA0","2021-01-29","0YQB0000000L0CHOA0","0ZGB0000000L0ZjOAK","20% Extra","2021-09-01","01tB0000000UI8VIAW","2021-09-01","00000039","2019-04-04",,"Fare Merchants - Chelsea",,"NA","0cBB0000000L08zMAC","Alpine Cooler","2021-09-01"
"2021-09-02",,"Coffee Machines","0c8B0000000L08MIAS","0YQB0000000L0C2OAK","2021-01-29","0YQB0000000L0C2OAK","0ZGB0000000L0ZlOAK","$10 Off Next Purchase","2021-09-01","01tB0000000UI8WIAW","2021-09-01","00000038","2019-04-05",,"Rondel Store - Chicago Streeterville",,"NA","0cBB0000000L08yMAC","Alpine Energy Drink - Tart Cherry","2021-09-01"
"2021-09-03",,"Accessories or Lip Balm","0c8B0000000L08lIAC","0YQB0000000L0CDOA0","2021-01-29","0YQB0000000L0CDOA0","0ZGB0000000L0ZjOAK","26% Off","2021-09-02","01tB0000000UI8VIAW","2021-09-02","00000032","2019-04-03",,"Nutrition Stop - Elkhorn",,"NA","0cBB0000000L08sMAC","Alpine Cooler","2021-09-02"
"2021-09-02",,"Coffee Machines","0c8B0000000L08mIAC","0YQB0000000L0C7OAK","2021-01-29","0YQB0000000L0C7OAK","0ZGB0000000L0ZlOAK","27% Off","2021-09-02","01tB0000000UI8cIAG","2021-09-02","00000023","2019-04-02",,"Alpine Nutrition - Noe Valley",,"NA","0cBB0000000L08jMAC","Alpine Energy Drink - Green Tea","2021-09-02"
"2021-09-04",,"Cereal","0c8B0000000L087IAC","0YQB0000000L0CHOA0","2021-01-29","0YQB0000000L0CHOA0","0ZGB0000000L0ZjOAK","5% Extra","2021-09-04","01tB0000000UI8XIAW","2021-09-04","00000014","2019-04-02",,"Fare Merchants - Chelsea",,"NA","0cBB0000000L08aMAC","Alpine Energy Drink - Green Tea","2021-09-04"
"2021-09-04",,"Displays & Vending","0c8B0000000L08DIAS","0YQB0000000L0CBOA0","2021-01-29","0YQB0000000L0CBOA0","0ZGB0000000L0ZlOAK","$1 Off","2021-09-02","01tB0000000UI8dIAG","2021-09-02","00000016","2019-04-06",,"Nutrition Stop - Hillsdale",,"NA","0cBB0000000L08cMAC","Alpine Energy Drink - Green Tea","2021-09-02"
"2021-09-04",,"Accessories or Lip Balm","0c8B0000000L08NIAS","0YQB0000000L0C3OAK","2021-01-29","0YQB0000000L0C3OAK","0ZGB0000000L0ZjOAK","$5 Off Next Purchase","2021-09-04","01tB0000000UI8XIAW","2021-09-04","00000047","2019-04-02",,"Rondel Store - Chicago South Loop",,"NA","0cBB0000000L097MAC","Alpine Cooler","2021-09-04"
"2021-09-02",,"Displays & Vending","0c8B0000000L08CIAS","0YQB0000000L0C4OAK","2021-01-29","0YQB0000000L0C4OAK","0ZGB0000000L0ZlOAK","Half Price","2021-08-31","01tB0000000UI8WIAW","2021-08-31","00000021","2019-04-05",,"Rondel Store - Evanston",,"NA","0cBB0000000L08hMAC","Alpine Energy Drink - Green Tea","2021-08-31"
"2021-09-01",,"Displays & Vending","0c8B0000000L083IAC","0YQB0000000L0CFOA0","2021-01-29","0YQB0000000L0CFOA0","0ZGB0000000L0ZlOAK","Buy 2 Get 1","2021-09-02","01tB0000000UI8WIAW","2021-09-02","00000011","2019-04-02",,"Fare Merchants - Irving",,"NA","0cBB0000000L08XMAS","Alpine Energy Drink - Green Tea","2021-09-02"
