"PromotionId","ProductCategoryId","Promotion_ProductCategory_Name","Product_Name","ProductId","Id","Promotion_ProductId","Promotion_ProductCategoryId","Name","ProductCategory_Name"
"0c8B0000000L08gIAC","0ZGB0000000L0ZlOAK","Post Workout Energy","Basic Warranty & Maintenance",,"0c9B00000008PcfIAE","01tB0000000UI8ZIAW","0ZGB0000000L0ZlOAK","00000001","Post Workout Energy"
"0c8B0000000L08gIAC","0ZGB0000000L0ZsOAK","Displays & Vending","Alpine Promotional Product - Patio Set",,"0c9B00000008PcgIAE","01tB0000000UI8aIAG","0ZGB0000000L0ZsOAK","00000002","Displays & Vending"
"0c8B0000000L08gIAC","0ZGB0000000L0ZpOAK","Pre Workout Energy","Pre - 0.5L PET - Tart Cherry",,"0c9B00000008PchIAE","01tB0000000UI8WIAW","0ZGB0000000L0ZpOAK","00000003","Pre Workout Energy"
"0c8B0000000L08gIAC","0ZGB0000000L0ZnOAK","Energy Bars","Alpine Energy Drink - Green Tea",,"0c9B00000008PciIAE","01tB0000000UI8gIAG","0ZGB0000000L0ZnOAK","00000004","Energy Bars"
"0c8B0000000L086IAC","0ZGB0000000L0ZjOAK","Cereal","Alpine Nutrition - Cereal Display",,"0c9B00000008PcjIAE","01tB0000000UI8cIAG","0ZGB0000000L0ZjOAK","00000005","Cereal"
"0c8B0000000L086IAC","0ZGB0000000L0ZmOAK","Energy Drink Powder","Alpine Energy Post Powder - Tart Cherry",,"0c9B00000008PckIAE","01tB0000000UI8fIAG","0ZGB0000000L0ZmOAK","00000006","Energy Drink Powder"
"0c8B0000000L086IAC","0ZGB0000000L0ZkOAK","Accessories or Lip Balm","GoBalm Lip Balm - Green Tea scent",,"0c9B00000008PclIAE","01tB0000000UI8dIAG","0ZGB0000000L0ZkOAK","00000007","Accessories or Lip Balm"
"0c8B0000000L086IAC","0ZGB0000000L0ZqOAK","Cooler Displays","Alpine Cooler",,"0c9B00000008PcmIAE","01tB0000000UI8VIAW","0ZGB0000000L0ZqOAK","00000008","Cooler Displays"
"0c8B0000000L08BIAS","0ZGB0000000L0ZrOAK","Energy Drinks","Alpine Energy Drink - Tart Cherry",,"0c9B00000008PcnIAE","01tB0000000UI8XIAW","0ZGB0000000L0ZrOAK","00000009","Energy Drinks"
"0c8B0000000L08BIAS","0ZGB0000000L0ZoOAK","Coffee Machines","GoBrew Caffeinator",,"0c9B00000008PcoIAE","01tB0000000UI8iIAG","0ZGB0000000L0ZoOAK","00000010","Coffee Machines"
"0c8B0000000L08BIAS","0ZGB0000000L0ZlOAK","Post Workout Energy","Basic Warranty & Maintenance",,"0c9B00000008PcpIAE","01tB0000000UI8ZIAW","0ZGB0000000L0ZlOAK","00000011","Post Workout Energy"
"0c8B0000000L08BIAS","0ZGB0000000L0ZsOAK","Displays & Vending","Alpine Promotional Product - Patio Set",,"0c9B00000008PcqIAE","01tB0000000UI8aIAG","0ZGB0000000L0ZsOAK","00000012","Displays & Vending"
"0c8B0000000L089IAC","0ZGB0000000L0ZpOAK","Pre Workout Energy","Pre - 0.5L PET - Tart Cherry",,"0c9B00000008PcrIAE","01tB0000000UI8WIAW","0ZGB0000000L0ZpOAK","00000013","Pre Workout Energy"
"0c8B0000000L089IAC","0ZGB0000000L0ZnOAK","Energy Bars","Alpine Energy Drink - Green Tea",,"0c9B00000008PcsIAE","01tB0000000UI8gIAG","0ZGB0000000L0ZnOAK","00000014","Energy Bars"
"0c8B0000000L089IAC","0ZGB0000000L0ZjOAK","Cereal","Alpine Nutrition - Cereal Display",,"0c9B00000008PctIAE","01tB0000000UI8cIAG","0ZGB0000000L0ZjOAK","00000015","Cereal"
"0c8B0000000L089IAC","0ZGB0000000L0ZmOAK","Energy Drink Powder","Alpine Energy Post Powder - Tart Cherry",,"0c9B00000008PcuIAE","01tB0000000UI8fIAG","0ZGB0000000L0ZmOAK","00000016","Energy Drink Powder"
"0c8B0000000L08HIAS","0ZGB0000000L0ZkOAK","Accessories or Lip Balm","GoBalm Lip Balm - Green Tea scent",,"0c9B00000008PcvIAE","01tB0000000UI8dIAG","0ZGB0000000L0ZkOAK","00000017","Accessories or Lip Balm"
"0c8B0000000L08HIAS","0ZGB0000000L0ZqOAK","Cooler Displays","Alpine Cooler",,"0c9B00000008PcwIAE","01tB0000000UI8VIAW","0ZGB0000000L0ZqOAK","00000018","Cooler Displays"
"0c8B0000000L08HIAS","0ZGB0000000L0ZrOAK","Energy Drinks","Alpine Energy Drink - Tart Cherry",,"0c9B00000008PcxIAE","01tB0000000UI8XIAW","0ZGB0000000L0ZrOAK","00000019","Energy Drinks"
"0c8B0000000L08HIAS","0ZGB0000000L0ZoOAK","Coffee Machines","GoBrew Caffeinator",,"0c9B00000008PcyIAE","01tB0000000UI8iIAG","0ZGB0000000L0ZoOAK","00000020","Coffee Machines"
"0c8B0000000L08IIAS","0ZGB0000000L0ZlOAK","Post Workout Energy","Basic Warranty & Maintenance",,"0c9B00000008PczIAE","01tB0000000UI8ZIAW","0ZGB0000000L0ZlOAK","00000021","Post Workout Energy"
"0c8B0000000L08IIAS","0ZGB0000000L0ZsOAK","Displays & Vending","Alpine Promotional Product - Patio Set",,"0c9B00000008Pd0IAE","01tB0000000UI8aIAG","0ZGB0000000L0ZsOAK","00000022","Displays & Vending"
"0c8B0000000L08IIAS","0ZGB0000000L0ZpOAK","Pre Workout Energy","Pre - 0.5L PET - Tart Cherry",,"0c9B00000008Pd1IAE","01tB0000000UI8WIAW","0ZGB0000000L0ZpOAK","00000023","Pre Workout Energy"
"0c8B0000000L08IIAS","0ZGB0000000L0ZnOAK","Energy Bars","Alpine Energy Drink - Green Tea",,"0c9B00000008Pd2IAE","01tB0000000UI8gIAG","0ZGB0000000L0ZnOAK","00000024","Energy Bars"
"0c8B0000000L08pIAC","0ZGB0000000L0ZjOAK","Cereal","Alpine Nutrition - Cereal Display",,"0c9B00000008Pd3IAE","01tB0000000UI8cIAG","0ZGB0000000L0ZjOAK","00000025","Cereal"
"0c8B0000000L08pIAC","0ZGB0000000L0ZmOAK","Energy Drink Powder","Alpine Energy Post Powder - Tart Cherry",,"0c9B00000008Pd4IAE","01tB0000000UI8fIAG","0ZGB0000000L0ZmOAK","00000026","Energy Drink Powder"
"0c8B0000000L08pIAC","0ZGB0000000L0ZkOAK","Accessories or Lip Balm","GoBalm Lip Balm - Green Tea scent",,"0c9B00000008Pd5IAE","01tB0000000UI8dIAG","0ZGB0000000L0ZkOAK","00000027","Accessories or Lip Balm"
"0c8B0000000L08pIAC","0ZGB0000000L0ZqOAK","Cooler Displays","Alpine Cooler",,"0c9B00000008Pd6IAE","01tB0000000UI8VIAW","0ZGB0000000L0ZqOAK","00000028","Cooler Displays"
"0c8B0000000L08iIAC","0ZGB0000000L0ZrOAK","Energy Drinks","Alpine Energy Drink - Tart Cherry",,"0c9B00000008Pd7IAE","01tB0000000UI8XIAW","0ZGB0000000L0ZrOAK","00000029","Energy Drinks"
"0c8B0000000L08iIAC","0ZGB0000000L0ZoOAK","Coffee Machines","GoBrew Caffeinator",,"0c9B00000008Pd8IAE","01tB0000000UI8iIAG","0ZGB0000000L0ZoOAK","00000030","Coffee Machines"
"0c8B0000000L08iIAC","0ZGB0000000L0ZlOAK","Post Workout Energy","Basic Warranty & Maintenance",,"0c9B00000008Pd9IAE","01tB0000000UI8ZIAW","0ZGB0000000L0ZlOAK","00000031","Post Workout Energy"
"0c8B0000000L08iIAC","0ZGB0000000L0ZsOAK","Displays & Vending","Alpine Promotional Product - Patio Set",,"0c9B00000008PdAIAU","01tB0000000UI8aIAG","0ZGB0000000L0ZsOAK","00000032","Displays & Vending"
"0c8B0000000L08nIAC","0ZGB0000000L0ZpOAK","Pre Workout Energy","Pre - 0.5L PET - Tart Cherry",,"0c9B00000008PdBIAU","01tB0000000UI8WIAW","0ZGB0000000L0ZpOAK","00000033","Pre Workout Energy"
"0c8B0000000L08nIAC","0ZGB0000000L0ZnOAK","Energy Bars","Alpine Energy Drink - Green Tea",,"0c9B00000008PdCIAU","01tB0000000UI8gIAG","0ZGB0000000L0ZnOAK","00000034","Energy Bars"
"0c8B0000000L08nIAC","0ZGB0000000L0ZjOAK","Cereal","Alpine Nutrition - Cereal Display",,"0c9B00000008PdDIAU","01tB0000000UI8cIAG","0ZGB0000000L0ZjOAK","00000035","Cereal"
