"RetailStoreId","LastProcessedDate","Product_Name","ProductId","RetailStore_Location_Address_State","EndDate","Name","StartDate","RetailStore_RetailStoreGroup_Name","PromotionProduct_PromotionId","RetailStore_Name","ProductCategory_ProductCategory_Name","RetailStore_Location_Address_City","Id","RetailStore_Account_Name","RetailStore_Location_Name"
"0YQB0000000L0C8OAK","2021-01-29","YetiBar Tart Cherry/Bison - Paleo","01tB0000000ti7nIAA",,,"00001501","2020-07-15","Bay Area","0c8B0000000CdT6IAK","NTO Store - Noe Valley",,,"0bUB0000000D4ePMAS","Alpine Nutrition","Location"
"0YQB0000000L0C8OAK","2021-01-29","BigfootBar Tart Cherry/Pistacio - Paleo","01tB0000000ti9kIAA",,,"00001502","2020-07-13","Bay Area",,"NTO Store - Noe Valley",,,"0bUB0000000D4eUMAS","Alpine Nutrition","Location"
"0YQB0000000L0C9OAK","2021-01-29","Alpine Energy Drink - Tart Cherry","01tB0000000UI8XIAW","CA","2021-09-01","00000001","2018-04-04","South","0c8B0000000L083IAC","Alpine Nutrition Outlet (Hayward)","Energy Drinks","San Jose","0bUB0000000L8IWMA0","Nutrition Stop","Dmart Location 15"
"0YQB0000000L0C9OAK","2021-01-29","Alpine Promotional Product - Umbrella","01tB0000000UI8kIAG","CA","2021-09-01","00000002","2018-04-02","South","0c8B0000000L083IAC","Alpine Nutrition Outlet (Hayward)","End Cap Displays","San Jose","0bUB0000000L8IXMA0","Nutrition Stop","Dmart Location 15"
"0YQB0000000L0C9OAK","2021-01-29","Alpine Vending Machine","01tB0000000UI8aIAG","CA","2021-09-01","00000003","2018-04-03","South","0c8B0000000L083IAC","Alpine Nutrition Outlet (Hayward)","Displays & Vending","San Jose","0bUB0000000L8IYMA0","Nutrition Stop","Dmart Location 15"
"0YQB0000000L0C9OAK","2021-01-29","IoT Monitoring 1 year Service","01tB0000000UI8eIAG","CA","2021-08-31","00000004","2018-04-04","South","0c8B0000000L083IAC","Alpine Nutrition Outlet (Hayward)","Cooler Displays","San Jose","0bUB0000000L8IZMA0","Nutrition Stop","Dmart Location 15"
"0YQB0000000L0C9OAK","2021-01-29","Pre - 0.5L PET - Tart Cherry","01tB0000000UI8WIAW","CA","2021-09-02","00000005","2018-04-04","South","0c8B0000000L083IAC","Alpine Nutrition Outlet (Hayward)","Pre Workout Energy","San Jose","0bUB0000000L8IaMAK","Nutrition Stop","Dmart Location 15"
"0YQB0000000L0C9OAK","2021-01-29","GoBrew Magic Mixer","01tB0000000UI8iIAG","CA","2021-09-04","00000006","2018-04-05","South","0c8B0000000L083IAC","Alpine Nutrition Outlet (Hayward)","Coffee Machines","San Jose","0bUB0000000L8IbMAK","Nutrition Stop","Dmart Location 15"
"0YQB0000000L0C9OAK","2021-01-29","YetiBar Blueberry/Bison - Paleo","01tB0000000UI8YIAW","CA","2021-09-02","00000007","2018-04-05","South","0c8B0000000L085IAC","Alpine Nutrition Outlet (Hayward)","Energy Drinks","San Jose","0bUB0000000L8IcMAK","Nutrition Stop","Dmart Location 15"
"0YQB0000000L0C9OAK","2021-01-29","Alpine Nutrition - Cereal Display","01tB0000000UI8lIAG","CA","2021-09-01","00000008","2018-04-05","South","0c8B0000000L084IAC","Alpine Nutrition Outlet (Hayward)","Cereal","San Jose","0bUB0000000L8IdMAK","Nutrition Stop","Dmart Location 15"
"0YQB0000000L0C9OAK","2021-01-29","Basic Warranty & Maintenance","01tB0000000UI8bIAG","CA","2021-09-03","00000009","2018-04-06","South","0c8B0000000L083IAC","Alpine Nutrition Outlet (Hayward)","Post Workout Energy","San Jose","0bUB0000000L8IeMAK","Nutrition Stop","Dmart Location 15"
