"Description","LoyaltyProgram.Status","LoyaltyProgramCurrency.CurrencyType","LoyaltyTierGroup.LoyaltyProgramId","LoyaltyTierGroupId","SequenceNumber","Id","LoyaltyProgramCurrency.IsPrimary","LoyaltyTierGroup.IsPrimary","LoyaltyProgramCurrency.NQP_Currency","LoyaltyProgram.Name","LoyaltyProgramCurrency.QP_Currency","LoyaltyTierGroup.Name","Name"
,"Active","NonQualifying","0lpB0000000L185IAC","0ltB0000000KzzFIAS",2,"0lgB0000000PBysIAG",FALSE,FALSE,"King","New Prog","Random","Regular","Gold"
,"Active","NonQualifying","0lpB0000000L185IAC","0ltB0000000KzzKIAS",2,"0lgB0000000PBytIAG",FALSE,FALSE,"King","New Prog","Random","Zone","Better"
,"Active","NonQualifying","0lpB0000000L185IAC","0ltB0000000KzzFIAS",1,"0lgB0000000PByxIAG",FALSE,FALSE,"King","New Prog","Random","Regular","Silver"
,"Active","NonQualifying","0lpB0000000L185IAC","0ltB0000000KzzFIAS",3,"0lgB0000000PByyIAG",FALSE,FALSE,"King","New Prog","Random","Regular","Platinum"
,"Active","NonQualifying","0lpB0000000L185IAC","0ltB0000000KzzBIAS",1,"0lgB0000000PByzIAG",FALSE,TRUE,"King","New Prog","Random","United","Small"
,"Active","NonQualifying","0lpB0000000L185IAC","0ltB0000000KzzBIAS",2,"0lgB0000000PBz2IAG",FALSE,TRUE,"King","New Prog","Random","United","Medium"
,"Active","NonQualifying","0lpB0000000L185IAC","0ltB0000000KzzBIAS",3,"0lgB0000000PBz7IAG",FALSE,TRUE,"King","New Prog","Random","United","Large"
,"Active","NonQualifying","0lpB0000000L185IAC","0ltB0000000KzzKIAS",1,"0lgB0000000PBzCIAW",FALSE,FALSE,"King","New Prog","Random","Zone","Good"
,"Active","NonQualifying","0lpB0000000PBdwIAG","0ltB0000000PBbqIAG",1,"0lgB0000000TNJCIA4",FALSE,TRUE,"Points","NTO Insider","Number of Transactions","Status Tier Group","Silver"
,"Active","NonQualifying","0lpB0000000PBdwIAG","0ltB0000000PBbqIAG",2,"0lgB0000000TNJDIA4",FALSE,TRUE,"Points","NTO Insider","Number of Transactions","Status Tier Group","Gold"
,"Active","NonQualifying","0lpB0000000PBdwIAG","0ltB0000000PBbqIAG",3,"0lgB0000000TNJEIA4",FALSE,TRUE,"Points","NTO Insider","Number of Transactions","Status Tier Group","Platinum"
,"Active","NonQualifying","0lpB0000000PBdwIAG","0ltB0000000PBbvIAG",1,"0lgB0000000TNJHIA4",FALSE,FALSE,"Points","NTO Insider","Number of Transactions","Lifetime","Premium"
,"Active","NonQualifying","0lpB0000000PBdwIAG","0ltB0000000PBbvIAG",2,"0lgB0000000TNJMIA4",FALSE,FALSE,"Points","NTO Insider","Number of Transactions","Lifetime","Elite"
,"Active","NonQualifying","0lpB0000000PBdwIAG","0ltB0000000PBbvIAG",3,"0lgB0000000TNJRIA4",FALSE,FALSE,"Points","NTO Insider","Number of Transactions","Lifetime","Ambassador"
