"LoyaltyProgram_Status","Description","LoyaltyProgramCurrency_CurrencyType","LoyaltyProgramCurrency_QP_Currency","LoyaltyTierGroupId","Id","LoyaltyProgramCurrency_NQP_Currency","LoyaltyProgram_Name","LoyaltyTierGroup_LoyaltyProgramId","LoyaltyTierGroup_Name","Name","SequenceNumber"
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbbIAE","0lgB00000004CdpIAE","Nights Stayed","Xplore","0lpB00000004CeyIAE","Regular","Platinum",4
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbcIAE","0lgB00000004CdqIAE","Nights Stayed","Xplore","0lpB00000004CeyIAE","Lifetime","Premium",1
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbcIAE","0lgB00000004CdrIAE","Nights Stayed","Xplore","0lpB00000004CeyIAE","Lifetime","Ambassador",3
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbZIAU","0lgB00000004CdsIAE","Nights Stayed","Xperience","0lpB00000004CexIAE","Regular","Platinum",4
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbaIAE","0lgB00000004CdtIAE","Nights Stayed","Xperience","0lpB00000004CexIAE","Lifetime","Premium",1
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbbIAE","0lgB00000004CduIAE","Nights Stayed","Xplore","0lpB00000004CeyIAE","Regular","Bronze",1
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbZIAU","0lgB00000004CdvIAE","Nights Stayed","Xperience","0lpB00000004CexIAE","Regular","Quartz",5
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbZIAU","0lgB00000004CdwIAE","Nights Stayed","Xperience","0lpB00000004CexIAE","Regular","Bronze",1
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbZIAU","0lgB00000004CdxIAE","Nights Stayed","Xperience","0lpB00000004CexIAE","Regular","Silver",2
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbZIAU","0lgB00000004CdyIAE","Nights Stayed","Xperience","0lpB00000004CexIAE","Regular","Gold",3
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbaIAE","0lgB00000004CdzIAE","Nights Stayed","Xperience","0lpB00000004CexIAE","Lifetime","Elite",2
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbaIAE","0lgB00000004Ce0IAE","Nights Stayed","Xperience","0lpB00000004CexIAE","Lifetime","Ambassador",3
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbbIAE","0lgB00000004Ce1IAE","Nights Stayed","Xplore","0lpB00000004CeyIAE","Regular","Quartz",5
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbcIAE","0lgB00000004Ce2IAE","Nights Stayed","Xplore","0lpB00000004CeyIAE","Lifetime","Elite",2
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbbIAE","0lgB00000004Ce3IAE","Nights Stayed","Xplore","0lpB00000004CeyIAE","Regular","Gold",3
"Active",,"NonQualifying","Number of Transactions","0ltB00000004CbbIAE","0lgB00000004Ce4IAE","Nights Stayed","Xplore","0lpB00000004CeyIAE","Regular","Silver",2
