LoyaltyProgram_Status,Description,LoyaltyProgramCurrency_CurrencyType,LoyaltyProgramCurrency_QP_Currency,LoyaltyTierGroupId,Id,LoyaltyProgramCurrency_NQP_Currency,LoyaltyProgram_Name,LoyaltyTierGroup_LoyaltyProgramId,LoyaltyTierGroup_Name,Name,SequenceNumber
Active,,NonQualifying,Number of Transactions,0ltB00000004CbbIAE,0lgB00000004CdpIAE,Alpoints,Distributor Loyalty Program,0lpB00000004CeyIAE,Status Tier Group,Silver,4
Active,,NonQualifying,Number of Transactions,0ltB00000004CbcIAE,0lgB00000004CdqIAE,Alpoints,Distributor Loyalty Program,0lpB00000004CeyIAE,,Gold,1
Active,,NonQualifying,Number of Transactions,0ltB00000004CbcIAE,0lgB00000004CdrIAE,Alpoints,Distributor Loyalty Program,0lpB00000004CeyIAE,,Silver,3
Active,,NonQualifying,Number of Transactions,0ltB00000004CbZIAU,0lgB00000004CdsIAE,Alpoints,Customer Loyalty Program,0lpB00000004CexIAE,Status Tier Group,Platinum,4
Active,,NonQualifying,Number of Transactions,0ltB00000004CbaIAE,0lgB00000004CdtIAE,Alpoints,Customer Loyalty Program,0lpB00000004CexIAE,,Silver,1
Active,,NonQualifying,Number of Transactions,0ltB00000004CbbIAE,0lgB00000004CduIAE,Alpoints,Distributor Loyalty Program,0lpB00000004CeyIAE,Status Tier Group,Silver,1
Active,,NonQualifying,Number of Transactions,0ltB00000004CbZIAU,0lgB00000004CdvIAE,Alpoints,Customer Loyalty Program,0lpB00000004CexIAE,Status Tier Group,Silver,5
Active,,NonQualifying,Number of Transactions,0ltB00000004CbZIAU,0lgB00000004CdwIAE,Alpoints,Customer Loyalty Program,0lpB00000004CexIAE,Status Tier Group,Silver,1
Active,,NonQualifying,Number of Transactions,0ltB00000004CbZIAU,0lgB00000004CdxIAE,Alpoints,Customer Loyalty Program,0lpB00000004CexIAE,Status Tier Group,Silver,2
Active,,NonQualifying,Number of Transactions,0ltB00000004CbZIAU,0lgB00000004CdyIAE,Alpoints,Customer Loyalty Program,0lpB00000004CexIAE,Status Tier Group,Silver,3
Active,,NonQualifying,Number of Transactions,0ltB00000004CbaIAE,0lgB00000004CdzIAE,Alpoints,Customer Loyalty Program,0lpB00000004CexIAE,,Silver,2
Active,,NonQualifying,Number of Transactions,0ltB00000004CbaIAE,0lgB00000004Ce0IAE,Alpoints,Customer Loyalty Program,0lpB00000004CexIAE,,Silver,3
Active,,NonQualifying,Number of Transactions,0ltB00000004CbbIAE,0lgB00000004Ce1IAE,Alpoints,Distributor Loyalty Program,0lpB00000004CeyIAE,Status Tier Group,Gold,5
Active,,NonQualifying,Number of Transactions,0ltB00000004CbcIAE,0lgB00000004Ce2IAE,Alpoints,Distributor Loyalty Program,0lpB00000004CeyIAE,,Silver,2
Active,,NonQualifying,Number of Transactions,0ltB00000004CbbIAE,0lgB00000004Ce3IAE,Alpoints,Distributor Loyalty Program,0lpB00000004CeyIAE,Status Tier Group,Silver,3
Active,,NonQualifying,Number of Transactions,0ltB00000004CbbIAE,0lgB00000004Ce4IAE,Alpoints,Distributor Loyalty Program,0lpB00000004CeyIAE,Status Tier Group,Silver,2
