"ProductFamily","OwnerName","AccountId","ProductName","Time","ParentName","PeriodEndDate","SalesAgreementName","Industry","StartDate","DerivedStatus","ValidFrom","ValidFromAux","IdValidFromToKey","SnapshotPeriod","IsLatestSnapshot","AccountProductPeriodForecastId","ForecastStatus","ExternalId","LastProcessedDate","AccountType","PeriodStartDate","ValidToAux","ValidTo","PeriodName","AccountName","ForecastedQuantity","ForecastedDailyQuantityBAdj","ForecastedQuantityFinal","Attainment","TopAgreements","ForecastedRevenue","ForecastedDailyQuantity","Years","ForecastedRevenueFinal","Plan","TopAccounts","UnitPrice","Price","Forecast","ForecastedDailyRevenueBAdj","Actual","ForecastedDailyRevenue"
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","GoBar Veggie Vegan","2023-01-12","Ohana Technologies","2022-02-01","Anderson School District Sales Agreement","Consulting","2023-01-12","Approved","2021-11-18","2022-01-09","Momentum Design-Trencher T60-Apr-21-2021-03-16-2021-04-12","Mar2","Yes","Momentum Design-Trencher T60-Apr-21","Active","Account.045","2021-09-27","Mid-Market","2022-01-02","2022-02-16","2021-11-29","Dec-21","Anderson School District",2,0,2,99,0,5.98,0,2,18364,268,190000,2.99,2.99,280,600,278,612
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Tart Cherry/Chicken Paleo","2021-07-18","Ohana Technologies","2020-08-01","Anderson School District Sales Agreement","Consulting","2021-07-18","Upcoming Renewal","2020-07-26","2020-07-03","Momentum Design-Ripper 37-Aug-20-2020-05-17-2020-06-15","May","Yes","Momentum Design-Ripper 37-Aug-20","Active","Account.045","2021-09-27","Mid-Market","2020-07-03","2020-08-02","2020-08-17","Jun-20","Anderson School District",4,0,4,99,0,19.96,0,2,8060,268,190000,4.99,4.99,281,267,278,269
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Cranberry/Sunflower","2022-11-23","Ohana Technologies","2021-12-02","Anderson School District Sales Agreement","Consulting","2022-11-23","Upcoming Renewal","2021-10-29","2021-11-09","Momentum Design-Trencher T36-Oct-20-2020-10-01-2020-10-17","Oct","Yes","Momentum Design-Trencher T36-Oct-20","Expired","Account.045","2021-09-27","Mid-Market","2021-11-02","2021-12-09","2021-11-28","Oct-21","Anderson School District",2,0,2,99,0,5.98,0,2,14020,268,190000,2.99,2.99,281,400,278,467
"GoBar","Paul Morrison","0015e00000HchIAAAZ","GoBar Cranberry High Protein","2021-05-03","Ohana Technologies","2020-06-01","Anderson School District Sales Agreement","Consulting","2021-05-03","Upcoming Renewal","2020-02-22","2020-05-11","Momentum Design-Compactor 9000-Sep-21-2021-05-30-2021-06-21","May2","Yes","Momentum Design-Compactor 9000-Sep-21","Active","Account.045","2021-09-27","Mid-Market","2020-05-03","2020-06-06","2020-03-07","Apr-20","Anderson School District",2,0,2,99,0,5.98,0,2,15716,268,190000,2.99,2.99,281,540,278,524
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Cranberry/Bison Paleo","2021-05-03","Ohana Technologies","2020-06-01","Anderson School District Sales Agreement","Consulting","2021-05-03","Pending Approval","2020-04-26","2020-05-05","Momentum Design-Pulverizer P10-Oct-20-2020-09-24-2020-10-12","Sep","Yes","Momentum Design-Pulverizer P10-Oct-20","Active","Account.045","2021-09-27","Mid-Market","2020-05-03","2020-06-09","2020-05-24","Apr-20","Anderson School District",2,0,2,99,0,9.98,0,2,8608,268,190000,4.99,4.99,281,300,278,287
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Tart Cherry/Bison Paleo","2022-04-30","Ohana Technologies","2021-05-02","Anderson School District Sales Agreement","Consulting","2022-04-30","Upcoming Renewal","2020-09-13","2020-04-11","Momentum Design-Ripper 19-May-20-2020-04-30-2020-05-21","Apr","Yes","Momentum Design-Ripper 19-May-20","Active","Account.045","2021-09-27","Mid-Market","2020-04-02","2021-05-10","2020-10-13","Mar-20","Anderson School District",8,0,8,99,0,39.92,0,2,6458,268,190000,4.99,4.99,281,213,278,215
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","GoBar Cranberry Vegan","2021-02-20","Ohana Technologies","2020-03-03","Anderson School District Sales Agreement","Consulting","2021-02-20","Upcoming Renewal","2020-03-03","2020-02-04","Momentum Design-Backhoe Attachment R1-May-20-2020-04-30-2020-05-15","Apr","Yes","Momentum Design-Backhoe Attachment R1-May-20","Active","Account.045","2021-09-27","Mid-Market","2020-02-02","2020-03-04","2020-03-25","Jan-20","Anderson School District",1,0,1,99,0,2.99,0,2,20924,268,190000,2.99,2.99,281,650,278,697
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Tart Cherry","2022-11-09","Ohana Technologies","2021-12-02","Anderson School District Sales Agreement","Consulting","2022-11-09","Upcoming Renewal","2020-03-13","2021-11-06","Momentum Design-Backhoe Attachment R2-Mar-20-2021-02-01-2021-02-14","Feb2","Yes","Momentum Design-Backhoe Attachment R2-Mar-20","Expired","Account.045","2021-09-27","Mid-Market","2021-11-02","2021-12-06","2020-04-03","Oct-21","Anderson School District",1,0,1,99,0,2.05,0,2,20203,268,190000,2.05,2.05,281,683,279,673
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Cranberry/Chicken Paleo","2021-07-17","Ohana Technologies","2020-08-01","Anderson School District Sales Agreement","Consulting","2021-07-17","Pending Approval","2020-07-16","2020-07-13","Momentum Design-Trencher T48-Aug-20-2020-03-27-2020-04-23","Mar","Yes","Momentum Design-Trencher T48-Aug-20","Active","Account.045","2021-09-27","Mid-Market","2020-07-03","2020-08-15","2020-07-28","Jun-20","Anderson School District",2,0,2,99,0,9.98,0,2,14356,268,190000,4.99,4.99,282,427,279,479
"YetiBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Blueberry/Bison Paleo","2022-02-06","Ohana Technologies","2021-03-04","Anderson School District Sales Agreement","Consulting","2022-02-06","Upcoming Renewal","2021-01-08","2021-02-09","Momentum Design-Utility Broom UB1000-Apr-20-2020-03-16-2020-03-27","Mar","Yes","Momentum Design-Utility Broom UB1000-Apr-20","Active","Account.045","2021-09-27","Mid-Market","2021-02-02","2021-03-18","2021-02-01","Jan-21","Anderson School District",2,0,2,99,0,9.98,0,2,8699,268,190000,4.99,4.99,282,300,279,290
