"Type","State","NPS","Value"
"Detractor","West Virginia",-91,24
"Passive","Indiana",100,18
"Promoter","Pennsylvania",-100,58
"Passive","Oregon",-100,18
"Promoter","Wisconsin",-34,58
"Detractor","Connecticut",100,24
"Promoter","Florida",-100,58
"Passive","Kansas",71,18
"Detractor","Arizona",100,24
"Passive","Mississippi",-79,18
"Promoter","Rhode Island",100,58
"Detractor","Georgia",-100,24
"Promoter","Maryland",100,58
"Detractor","Nevada",44,24
"Passive","Hawaii",-100,18
"Passive","Wyoming",-100,18
"Detractor","Delaware",100,24
"Promoter","Tennessee",82,58
"Passive","South Carolina",-100,18
"Promoter","Kentucky",100,58
"Detractor","New Jersey",46,24
"Promoter","New Hampshire",100,58
"Passive","Oklahoma",-100,18
"Detractor","Illinois",-5,24
"Passive","North Dakota",-100,18
"Detractor","Nebraska",-1,24
"Promoter","Washington",100,58
"Passive","Minnesota",-100,18
"Detractor","Missouri",-16,24
"Promoter","Massachusetts",100,58
"Detractor","Louisiana",100,24
"Promoter","Utah",-100,58
"Passive","Idaho",-43,18
"Promoter","New Mexico",100,58
"Detractor","North Carolina",63,24
"Passive","Arkansas",-100,18
"Passive","Maine",100,18
"Detractor","Ohio",-30,24
"Promoter","Texas",100,58
"Passive","Virginia",-100,18
"Promoter","California",-100,58
"Detractor","Alabama",100,24
"Detractor","Iowa",-100,24
"Passive","South Dakota",-46,18
"Promoter","Michigan",100,58
"Passive","Colorado",-19,18
"Promoter","Alaska",-100,58
"Detractor","New York",100,24
"Passive","District of Columbia",-100,18
"Detractor","Montana",-31,24
"Promoter","Vermont",-100,58
