"Period","CommercialSegment","PeriodStartDate","RevenueBucket","Revenue"
"Previous Year","Innovator","2020-01-14","4m - 4.5m",4308001
"Q1","Distribution","2021-02-27","3.5m - 4m",3624001
"Q2","Commodity","2021-06-20","3m - 3.5m",3400000
"Rest of years","Follower","2017-04-01","4m - 4.5m",4025001
"Rest of years","Innovator","2017-09-20","3m - 3.5m",3303000
"Q2","Commodity","2021-06-25","3m - 3.5m",3364000
"Q3","Distribution","2021-07-17","4.5m - 5m",4759001
"Q3","Follower","2021-09-14","4m - 4.5m",4377001
"Rest of years","Innovator","2017-09-21","4m - 4.5m",4270001
"Q3","Commodity","2021-07-05","3m - 3.5m",3435000
"Q2","Distribution","2021-04-28","4m - 4.5m",4160001
"Rest of years","Follower","2018-03-15","4m - 4.5m",4158001
"Previous Year","Commodity","2020-12-13","4m - 4.5m",4189001
"Q2","Distribution","2021-04-19","3m - 3.5m",3090000
"Q1","Follower","2021-02-09","3m - 3.5m",3449000
"Q3","Innovator","2021-09-25","3.5m - 4m",3641001
"Q2","Follower","2021-05-10","4m - 4.5m",4267001
"Q3","Innovator","2021-08-14","3.5m - 4m",3620001
"Rest of years","Distribution","2018-12-11","3.5m - 4m",3858001
"Q3","Commodity","2021-08-09","4m - 4.5m",4235001
"Q2","Follower","2021-04-01","4.5m - 5m",4807001
"Rest of years","Distribution","2019-08-07","4m - 4.5m",4358001
"Rest of years","Commodity","2019-03-26","3m - 3.5m",3077000
"Previous Year","Innovator","2020-11-08","4m - 4.5m",4330001
"Q3","Follower","2021-09-09","3m - 3.5m",3172000
"Q2","Distribution","2021-04-06","4m - 4.5m",4463001
"Q2","Commodity","2021-05-14","3m - 3.5m",3190000
"Rest of years","Innovator","2017-06-16","3.5m - 4m",3538001
"Q1","Follower","2021-01-20","4m - 4.5m",4135001
"Q3","Distribution","2021-08-24","3m - 3.5m",3271000
"Q3","Innovator","2021-08-18","3.5m - 4m",3790001
"Rest of years","Commodity","2018-11-27","4m - 4.5m",4468001
"Q2","Distribution","2021-05-04","3m - 3.5m",3020000
"Rest of years","Commodity","2019-03-22","3m - 3.5m",3407000
"Previous Year","Follower","2020-08-01","4m - 4.5m",4358001
"Q1","Innovator","2021-02-10","3m - 3.5m",3274000
"Q3","Distribution","2021-07-08","4m - 4.5m",4391001
"Rest of years","Innovator","2018-08-09","4m - 4.5m",4103001
"Q2","Follower","2021-04-01","3m - 3.5m",3128000
"Q2","Commodity","2021-04-20","4.5m - 5m",4553001
"Q3","Follower","2021-07-25","4m - 4.5m",4152001
"Rest of years","Commodity","2017-03-05","3.5m - 4m",3799001
"Q2","Innovator","2021-04-11","3m - 3.5m",3315000
"Q3","Distribution","2021-08-08","4m - 4.5m",4297001
"Rest of years","Commodity","2017-10-02","3m - 3.5m",3089000
"Q1","Innovator","2021-01-28","3.5m - 4m",3569001
"Previous Year","Distribution","2020-02-10","4m - 4.5m",4465001
"Q2","Follower","2021-06-03","3m - 3.5m",3476000
"Q2","Innovator","2021-06-15","3m - 3.5m",3191000
"Q3","Follower","2021-07-09","3m - 3.5m",3476000
"Rest of years","Commodity","2017-06-15","3.5m - 4m",3623001
"Q3","Distribution","2021-08-31","4m - 4.5m",4323001
"Q3","Distribution","2021-07-31","3m - 3.5m",3032000
"Rest of years","Commodity","2019-03-13","4m - 4.5m",4374001
"Q2","Innovator","2021-04-15","3m - 3.5m",3007000
"Q3","Follower","2021-08-09","3m - 3.5m",3484000
"Rest of years","Innovator","2018-02-25","3m - 3.5m",3025000
"Previous Year","Distribution","2020-07-22","4m - 4.5m",4373001
"Q1","Follower","2021-01-09","3m - 3.5m",3290000
"Q2","Commodity","2021-04-26","4.5m - 5m",4919001
"Q3","Commodity","2021-09-14","4m - 4.5m",4402001
"Q2","Follower","2021-05-03","4m - 4.5m",4397001
"Rest of years","Distribution","2017-03-27","3m - 3.5m",3070000
"Q3","Innovator","2021-07-06","3.5m - 4m",3671001
"Rest of years","Innovator","2017-09-05","3.5m - 4m",3773001
"Q2","Distribution","2021-04-01","3m - 3.5m",3370000
"Q2","Follower","2021-04-29","4m - 4.5m",4390001
"Q3","Commodity","2021-08-02","3m - 3.5m",3004000
"Rest of years","Follower","2018-07-22","3.5m - 4m",3795001
"Previous Year","Distribution","2020-01-31","4m - 4.5m",4417001
"Rest of years","Innovator","2019-02-26","4m - 4.5m",4174001
"Q2","Commodity","2021-06-01","4m - 4.5m",4016001
"Q1","Commodity","2021-01-12","3m - 3.5m",3462000
"Q3","Distribution","2021-09-05","4m - 4.5m",4408001
"Q3","Innovator","2021-09-13","3.5m - 4m",3784001
"Q2","Follower","2021-04-27","3m - 3.5m",3179000
"Rest of years","Commodity","2017-09-26","4m - 4.5m",4346001
"Rest of years","Innovator","2018-04-28","3m - 3.5m",3225000
"Q1","Follower","2021-03-15","3m - 3.5m",3058000
"Q2","Distribution","2021-05-28","4.5m - 5m",4598001
"Q3","Commodity","2021-09-07","3m - 3.5m",3263000
"Q3","Innovator","2021-08-16","3.5m - 4m",3954001
"Q2","Follower","2021-05-19","3.5m - 4m",3932001
"Previous Year","Distribution","2020-06-10","4m - 4.5m",4148001
"Rest of years","Commodity","2017-03-09","4m - 4.5m",4408001
"Q2","Innovator","2021-05-21","3m - 3.5m",3124000
"Rest of years","Follower","2018-11-15","3m - 3.5m",3244000
"Q3","Distribution","2021-07-12","3m - 3.5m",3426000
"Q2","Innovator","2021-04-04","3m - 3.5m",3062000
"Rest of years","Follower","2017-11-01","4m - 4.5m",4284001
"Q3","Commodity","2021-07-08","4m - 4.5m",4010001
"Q1","Distribution","2021-03-03","3m - 3.5m",3261000
"Previous Year","Innovator","2020-03-24","4m - 4.5m",4341001
"Q2","Commodity","2021-04-18","4m - 4.5m",4320001
"Q3","Distribution","2021-07-31","3m - 3.5m",3109000
"Rest of years","Follower","2019-01-17","4.5m - 5m",4838001
"Q2","Distribution","2021-05-24","4m - 4.5m",4096001
"Q3","Follower","2021-07-30","3m - 3.5m",3489000
"Rest of years","Commodity","2019-10-07","4m - 4.5m",4015001
"Q2","Innovator","2021-06-28","3m - 3.5m",3338000
"Rest of years","Commodity","2017-09-29","4m - 4.5m",4354001
"Q1","Distribution","2021-01-30","3.5m - 4m",3546001
"Q3","Follower","2021-09-21","4m - 4.5m",4077001
"Q2","Innovator","2021-05-10","3m - 3.5m",3446000
"Previous Year","Distribution","2020-05-20","3m - 3.5m",3310000
"Q3","Innovator","2021-09-22","3.5m - 4m",3564001
"Rest of years","Follower","2017-03-14","4m - 4.5m",4393001
"Q3","Commodity","2021-07-14","3m - 3.5m",3455000
"Q2","Distribution","2021-06-28","3m - 3.5m",3200000
"Rest of years","Follower","2017-12-07","4m - 4.5m",4084001
"Rest of years","Innovator","2017-04-12","4m - 4.5m",4202001
"Previous Year","Commodity","2020-09-17","3m - 3.5m",3064000
"Q1","Innovator","2021-03-28","4m - 4.5m",4343001
"Q3","Distribution","2021-08-07","4m - 4.5m",4454001
"Rest of years","Follower","2018-06-27","4.5m - 5m",4834001
"Q3","Commodity","2021-07-21","3m - 3.5m",3211000
"Q2","Innovator","2021-06-13","3m - 3.5m",3046000
"Q2","Commodity","2021-04-01","3.5m - 4m",3654001
"Q2","Distribution","2021-05-19","3m - 3.5m",3157000
"Q3","Follower","2021-09-01","4m - 4.5m",4155001
"Rest of years","Commodity","2018-04-08","4m - 4.5m",4056001
"Q2","Innovator","2021-05-15","3m - 3.5m",3201000
"Q3","Distribution","2021-07-01","4m - 4.5m",4273001
"Rest of years","Follower","2017-05-23","3m - 3.5m",3387000
"Q1","Commodity","2021-01-07","4m - 4.5m",4359001
"Q2","Innovator","2021-04-23","3m - 3.5m",3166000
"Rest of years","Distribution","2018-04-10","3m - 3.5m",3039000
"Previous Year","Follower","2020-10-31","4m - 4.5m",4000001
"Q3","Commodity","2021-07-22","3m - 3.5m",3269000
"Q2","Follower","2021-06-12","4m - 4.5m",4400001
"Rest of years","Distribution","2019-06-27","3.5m - 4m",3666001
"Q3","Innovator","2021-09-01","3.5m - 4m",3974001
"Q3","Follower","2021-09-29","3m - 3.5m",3004000
"Q2","Commodity","2021-05-06","4m - 4.5m",4255001
"Rest of years","Innovator","2019-05-22","4.5m - 5m",4629001
"Q1","Distribution","2021-01-23","4m - 4.5m",4460001
"Rest of years","Innovator","2018-02-24","3.5m - 4m",3781001
"Q2","Follower","2021-06-23","4.5m - 5m",4532001
"Q3","Distribution","2021-08-25","3m - 3.5m",3020000
"Previous Year","Commodity","2020-05-16","3m - 3.5m",3425000
"Q2","Follower","2021-06-09","4m - 4.5m",4277001
"Rest of years","Commodity","2019-03-19","4m - 4.5m",4490001
"Q3","Innovator","2021-08-20","3.5m - 4m",3784001
"Q2","Distribution","2021-04-17","3m - 3.5m",3272000
"Previous Year","Commodity","2020-08-24","3m - 3.5m",3105000
"Q1","Distribution","2021-02-18","4m - 4.5m",4094001
"Q3","Follower","2021-07-03","3.5m - 4m",3722001
"Q2","Innovator","2021-05-16","3m - 3.5m",3012000
"Q3","Follower","2021-07-22","4m - 4.5m",4396001
"Rest of years","Distribution","2019-11-23","3m - 3.5m",3488000
"Rest of years","Innovator","2019-05-04","3m - 3.5m",3401000
"Q2","Commodity","2021-06-19","3m - 3.5m",3286000
"Rest of years","Innovator","2018-11-29","4m - 4.5m",4019001
"Q3","Follower","2021-09-22","4.5m - 5m",4953001
"Q3","Distribution","2021-07-11","3m - 3.5m",3212000
"Q1","Commodity","2021-02-01","4m - 4.5m",4103001
