"IndustrySegment","Period","PeriodStartDate","RevenueBucket","Revenue"
"Paper & Packaging","Current Month","2021-09-30","3m - 3.5m",3311001
"Coatings & Inks","Two Months Ago","2021-07-06","2m - 2.5m",2111001
"Specialty Materials","One Month Ago","2021-08-19","3.5m - 4m",3541001
"Textiles","Rest of the Records","2019-06-16","1.5m - 2m",1824001
"Coatings & Inks","Rest of the Records","2018-05-29","2.5m - 3m",2913001
"Textiles","Three Months Ago","2021-06-10","4.5m - 5m",4865000
"Paper & Packaging","Rest of the Records","2019-11-01","4m - 4.5m",4457001
"Specialty Materials","Rest of the Records","2018-03-27","2.5m - 3m",2943001
"Specialty Materials","Rest of the Records","2019-03-26","1m - 1.5m",1247000
"Textiles","Rest of the Records","2017-10-03","2m - 2.5m",2371001
"Paper & Packaging","Rest of the Records","2020-10-13","3m - 3.5m",3063001
"Coatings & Inks","Rest of the Records","2019-04-30","1m - 1.5m",1061000
"Specialty Materials","Rest of the Records","2019-09-29","4m - 4.5m",4367001
"Textiles","Rest of the Records","2017-09-26","2.5m - 3m",2872001
"Coatings & Inks","Four Months Ago","2021-05-27","2.5m - 3m",2627001
"Paper & Packaging","Rest of the Records","2019-03-26","1.5m - 2m",1942001
"Textiles","Rest of the Records","2018-09-18","1m - 1.5m",1017000
"Coatings & Inks","Rest of the Records","2018-02-22","3.5m - 4m",3803001
"Paper & Packaging","Rest of the Records","2018-08-24","4.5m - 5m",4604000
"Specialty Materials","Rest of the Records","2017-05-20","3m - 3.5m",3466001
"Paper & Packaging","Rest of the Records","2017-11-14","2m - 2.5m",2320001
"Specialty Materials","Rest of the Records","2018-03-19","3.5m - 4m",3744001
"Textiles","Rest of the Records","2018-06-01","4.5m - 5m",4537000
"Coatings & Inks","Rest of the Records","2020-03-13","4m - 4.5m",4371001
"Textiles","Rest of the Records","2017-05-14","2.5m - 3m",2780001
"Coatings & Inks","Rest of the Records","2019-12-17","1.5m - 2m",1514001
"Specialty Materials","Rest of the Records","2017-08-13","1m - 1.5m",1250000
"Paper & Packaging","Rest of the Records","2020-07-21","1.5m - 2m",1673001
"Specialty Materials","Rest of the Records","2017-09-19","4m - 4.5m",4293001
"Paper & Packaging","Rest of the Records","2017-06-13","2m - 2.5m",2040001
"Textiles","Rest of the Records","2018-12-27","3.5m - 4m",3782001
"Coatings & Inks","Rest of the Records","2019-01-17","3m - 3.5m",3201001
"Paper & Packaging","Rest of the Records","2020-02-17","3m - 3.5m",3469001
"Textiles","Rest of the Records","2017-07-04","3.5m - 4m",3711001
"Specialty Materials","Rest of the Records","2017-09-17","2.5m - 3m",2992001
"Coatings & Inks","Rest of the Records","2020-07-04","4.5m - 5m",4524000
"Coatings & Inks","Rest of the Records","2019-02-13","3m - 3.5m",3263001
"Specialty Materials","Rest of the Records","2017-09-01","1m - 1.5m",1027000
"Textiles","Rest of the Records","2017-05-19","3m - 3.5m",3076001
"Paper & Packaging","Rest of the Records","2021-01-05","4m - 4.5m",4313001
"Textiles","Rest of the Records","2020-10-01","1.5m - 2m",1959001
"Paper & Packaging","Rest of the Records","2017-11-20","3.5m - 4m",3811001
"Coatings & Inks","Rest of the Records","2018-01-13","3.5m - 4m",3798001
"Specialty Materials","Rest of the Records","2020-07-23","4.5m - 5m",4866000
"Specialty Materials","Rest of the Records","2018-02-15","2m - 2.5m",2087001
"Textiles","Rest of the Records","2019-05-29","2m - 2.5m",2245001
"Paper & Packaging","Rest of the Records","2018-03-23","2.5m - 3m",2966001
"Coatings & Inks","Rest of the Records","2019-10-06","4.5m - 5m",4812000
"Specialty Materials","Rest of the Records","2018-03-13","4m - 4.5m",4223001
"Paper & Packaging","Rest of the Records","2018-06-28","1m - 1.5m",1361000
"Textiles","Rest of the Records","2017-06-30","3.5m - 4m",3648001
"Coatings & Inks","Rest of the Records","2020-06-09","1m - 1.5m",1017000
"Textiles","Rest of the Records","2019-02-05","4.5m - 5m",4896000
"Coatings & Inks","Rest of the Records","2019-01-11","2.5m - 3m",2911001
