"Segment","Cost_Goal","Pipeline_Goal","Revenue_Left","Volume_Goal","Revenue_Target","Cost","Cost_Target","Pipeline","Cost_Left","Pipeline_Target","Pipeline_Left","Volume_Target","Volume","Region","Revenue","Revenue_Goal","Volume_Left"
"Consumer",4462336.36,6544760,2734774.71,3272380,35,1472571,33,5890284,2989765.36,90,654476,90,2945142,2018,1472571,4207345.71,327238
"Corporate",11062392.32,296472114.29,8465059.05,148236057.14,38,5188262,46.9,20753048,5874130.32,7,275719066.29,7,10376524,2018,5188262,13653321.05,137859533.14
"Home Office",18356825.87,491962933.33,15729867.47,245981466.67,19,3689722,20.1,14758888,14667103.87,3,477204045.33,3,7379444,2018,3689722,19419589.47,238602022.67
"Consumer",5022361.7,20982311.11,355345.59,10491155.56,93,4721020,94,18884080,301341.7,90,2098231.11,90,9442040,2017,4721020,5076365.59,1049115.56
"Corporate",144327023.81,346384857.14,8370967.38,173192428.57,42,6061735,4.2,24246940,138265288.81,7,322137917.14,7,12123470,2017,6061735,14432702.38,161068958.57
"Home Office",329398666.67,790556800,732819.51,395278400,89,5929176,1.8,23716704,323469490.67,3,766840096,3,11858352,2017,5929176,6661995.51,383420048
"Consumer",123438500,10972311.11,76353.71,5486155.56,97,2468770,2,9875080,120969730,90,1097231.11,90,4937540,2016,2468770,2545123.71,548615.56
"Corporate",7961190.96,312078685.71,3491700.05,156039342.86,61,5461377,68.6,21845508,2499813.96,7,290233177.71,7,10922754,2016,5461377,8953077.05,145116588.86
"Home Office",3559394.56,139528266.67,170354.28,69764133.33,86,1046462,29.4,4185848,2512932.56,3,135342418.67,3,2092924,2016,1046462,1216816.28,67671209.33
"Consumer",7800966.67,6240773.33,1296160.62,3120386.67,52,1404174,18,5616696,6396792.67,90,624077.33,90,2808348,2015,1404174,2700334.62,312038.67
"Corporate",11081250.87,363465028.57,4798376.04,181732514.29,57,6360638,57.4,25442552,4720612.87,7,338022476.57,7,12721276,2015,6360638,11159014.04,169011238.29
"Home Office",6345422.76,208129866.67,275466,104064933.33,85,1560974,24.6,6243896,4784448.76,3,201885970.67,3,3121948,2015,1560974,1836440,100942985.33
"Consumer",3478048.68,11748075.56,85467249.67,5874037.78,3,2643317,76,10573268,834731.68,90,1174807.56,90,5286634,2014,2643317,88110566.67,587403.78
"Corporate",46774482.14,449035028.57,4048118.82,224517514.29,66,7858113,16.8,31432452,38916369.14,7,417602576.57,7,15716226,2014,7858113,11906231.82,208801288.29
"Home Office",91164819.44,875182266.67,66367988.56,437591133.33,9,6563867,7.2,26255468,84600952.44,3,848926798.67,3,13127734,2014,6563867,72931855.56,424463399.33
"Consumer",93912500,41738888.89,929733750,20869444.44,1,9391250,10,37565000,84521250,90,4173888.89,90,18782500,2013,9391250,939125000,2086944.44
"Corporate",15678503.17,564426114.29,0,282213057.14,0,9877457,63,39509828,5801046.17,7,524916286.29,7,19754914,2013,9877457,0,262458143.14
"Home Office",21827985.19,785807466.67,26848421.78,392903733.33,18,5893556,27,23574224,15934429.19,3,762233242.67,3,11787112,2013,5893556,32741977.78,381116621.33
